School Name,Coordinates,Location Name,
Boston College,"42.337930214053415, -71.16845342549557",Robsham Theater Arts Center,
Boston College,"42.33601326608864, -71.16955352468717",O'Neill Library,
Boston College,"42.3349226772012, -71.16935680607578",Saint Ignatius Statue,
Boston College,"42.3350515267017, -71.17033891365418",Gasson Quad,
Boston College,"42.33637011105709, -71.17118758464758",Bapst Library,
Boston College,"42.33703998951685, -71.17168890809313",9/11 Memorial Labryinth,
Boston College,"42.33577636392935, -71.16792716917949",Conte Forum,
Boston College,"42.33711369169306, -71.16513745169645",Connell Recreation Center,
Boston College,"42.340915313006214, -71.16262317184223",McMullen Museum of Art,
Boston College,"42.33953325023263, -71.16671884432726",Saint Ignatius Church,
Cal Poly,"35.299342526424226, -120.66547271607104",Alex G. Spanos Stadium,
Cal Poly,"35.30071207957919, -120.66344239290684",Cal Poly Art Gallery,
Cal Poly,"35.30190308647077, -120.66328608903711",Robert E. Kennedy Library,
Cal Poly,"35.301138893343904, -120.66047212840874",Einstein Statue,
Cal Poly,"35.29974285098849, -120.65898729810029",McPhee University Union Plaza,
Cal Poly,"35.30058118135566, -120.6584427794793",Mustang Statue,
Cal Poly,"35.29905117084058, -120.65905767647862",Robert E. Mott Physical Education,
Cal Poly,"35.29750699585419, -120.66225196331405",Smith Alumni Center,
Cal Poly,"35.29959091981779, -120.66554408060769",O'Neill Green,
Cal State San Bernardino,"34.18144106321162, -117.32413764328373",Wild Song Statue,
Cal State San Bernardino,"34.18139607998877, -117.325327713266",Performing Arts Center,
Cal State San Bernardino,"34.18016843130343, -117.32431677638286",University Hall,
Cal State San Bernardino,"34.181062305351226, -117.32157735379081",Jack H Brown Hall,
Cal State San Bernardino,"34.18112697433175, -117.31888505700572",Student Recreation & Fitness Center,
Cal State San Bernardino,"34.18258885156351, -117.32023465615684",Coussoulis Arena,
Cal State San Bernardino,"34.18407171481957, -117.3257823300994",Robert V Fullerton Art Museum,
Cal State San Bernardino,"34.18435072468754, -117.32678961595005",CSUSB Outdoor Amphitheater,
Cal State San Bernardino,"34.18225925619738, -117.32403898026013",John M Pfau Library,
Chico State,"39.72936696078181, -121.84566743472685",Three Sisters Statue,
Chico State,"39.728802550658784, -121.84508906486849",Tree of Peace,
Chico State,"39.728321715530605, -121.84449331767078",Performing Arts Center,
Chico State,"39.727875440254124, -121.84459262763889",Wildcat Sculpture,
Chico State,"39.72918382271828, -121.84432262217604",Free Speech Area,
Chico State,"39.72920251124902, -121.84373152269346",Janet Turner Print Museum,
Chico State,"39.72835970519495, -121.8465157801165",Meriam Library,
Chico State,"39.73016048528043, -121.84952678755769",Acker Gym,
Chico State,"39.73049697223165, -121.84583770068316",Chico State Flame,
Columbia University Butler Library,Columbia University,"40.80670225333916, -73.96296609420246",Butler Library
Columbia University The Sundial,Columbia University,"40.80730343814373, -73.96253368273649",The Sundial
Columbia University Low Memorial Library,Columbia University,"40.80791494990787, -73.96205255656565",Low Memorial Library
Columbia University The Thinker,Columbia University,"40.80754650342041, -73.96118882151428",The Thinker
Columbia University Saint Paul's Chapel,Columbia University,"40.80798666411735, -73.9611608522562",Saint Paul's Chapel
Columbia University Schermerhorn Hall,Columbia University,"40.8084381300034, -73.96054778652473",Schermerhorn Hall
Columbia University Scholar's Lion,Columbia University,"40.808929243289406, -73.96200533508183",Scholar's Lion
Columbia University Havemeyer Hall,Columbia University,"40.80919580697756, -73.96232906526724",Havemeyer Hall
Columbia University Earl Hall,Columbia University,"40.80869398474676, -73.96292340821235",Earl Hall
Columbia University Bookstore,Columbia University,"40.80715363038041, -73.96395382946092",Bookstore
James Madison University Carrier Library,James Madison University,"38.43900093929478, -78.87242718484181",Carrier Library
James Madison University Student Success Center,James Madison University,"38.440404590554245, -78.87167649498916",Student Success Center
James Madison University Duke Hall,James Madison University,"38.440556, -78.87409",Duke Hall
James Madison University The Quad,James Madison University,"38.439237903460665, -78.87494592903764",The Quad
James Madison University Forbes Center,James Madison University,"38.440032197809025, -78.8760318145536",Forbes Center
James Madison University James Madison statue,James Madison University,"38.4371648985793, -78.87463631148744",James Madison statue
James Madison University Madison Union,James Madison University,"38.437557238431765, -78.87067888625506",Madison Union
James Madison University Duke Dog Statue,James Madison University,"38.43429909435469, -78.87268717186612",Duke Dog Statue
James Madison University Wilson Hall,James Madison University,"38.438064, -78.873181",Wilson Hall
