Central Park, New York
Prospect Park, Brooklyn
Flushing Meadows-Corona Park, Queens
Golden Gate Park, San Francisco
Presidio, San Francisco
Mission Dolores Park, San Francisco
Griffith Park, Los Angeles
Echo Park, Los Angeles
Elysian Park, Los Angeles
Balboa Park, San Diego
Mission Bay Park, San Diego
Forest Park, St. Louis
Tower Grove Park, St. Louis
Millennium Park, Chicago
Lincoln Park, Chicago
Grant Park, Chicago
Burnham Park, Chicago
Discovery Green, Houston
Buffalo Bayou Park, Houston
Hermann Park, Houston
Memorial Park, Houston
Zilker Metropolitan Park, Austin
Audubon Park, New Orleans
City Park, New Orleans
Piedmont Park, Atlanta
Centennial Olympic Park, Atlanta
Boston Common, Boston
Boston Public Garden, Boston
Franklin Park, Boston
National Mall, Washington
Rock Creek Park, Washington
Fairmount Park, Philadelphia
Rittenhouse Square, Philadelphia
Forest Park, Portland
Washington Park, Portland
Patterson Park, Baltimore
Druid Hill Park, Baltimore
Belle Isle Park, Detroit
Riverside Park, Detroit
Green Lake Park, Seattle
Discovery Park, Seattle
Volunteer Park, Seattle
Gas Works Park, Seattle
Forest Park, Springfield
Chapultepec Park, El Paso
Ascarate Park, El Paso
MacArthur Park, Little Rock
Forest Park, Springfield (MA)
Shelby Farms Park, Memphis
Overton Park, Memphis
