park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Balboa Park, San Diego, San Diego County, California, United States",Veteran's Museum and Memorial Center,32.7257982,-117.1487934,tourism,18.789,False,Q7923661,,,nan,https://veteranmuseum.net/,,nan,"('node', 1346369199)",ChIJd_VDMphU2YARbv2lCicoFAc,The San Diego Veterans Museum,4.7,289
"Balboa Park, San Diego, San Diego County, California, United States",San Diego Air & Space Museum,32.72623009793256,-117.15436785419035,tourism,15.0,False,Q3308955,,,nan,https://www.sandiegoairandspace.org,,nan,"('way', 31240535)",ChIJpZPqMqNU2YARvWok4Fl9Thc,San Diego Air & Space Museum,4.6,5703
"Balboa Park, San Diego, San Diego County, California, United States",San Diego Automotive Museum,32.7274981043931,-117.15390016210785,tourism,14.5,False,Q7413596,,,nan,https://www.sdautomuseum.org/,,nan,"('way', 60194724)",ChIJKQfx0LxU2YARLRX14eAkak0,San Diego Automotive Museum,4.4,1974
"Balboa Park, San Diego, San Diego County, California, United States",Mingei International Museum,32.7310151,-117.151018,tourism,15.0,False,Q6864705,en:Mingei International Museum,,nan,https://www.mingei.org/,,"Tu-Th, Sa-Su 10:00-17:00; Fr 10:00-20:00","('node', 1713143030)",ChIJmWcp671U2YARlCWX8coNpBg,Mingei International Museum,4.6,525
"Balboa Park, San Diego, San Diego County, California, United States",San Diego Museum of Art,32.7321695,-117.1504503,tourism,15.0,False,Q1368166,en:San Diego Museum of Art,,nan,https://www.sdmart.org/,,"Mo-Tu, Th-Sa 10:00-17:00; Su 12:00-17:00","('node', 368174501)",ChIJLyIl671U2YAREAPW56PTL3k,The San Diego Museum of Art,4.6,2621
"Balboa Park, San Diego, San Diego County, California, United States",Timken Museum of Art,32.7318435395578,-117.14961401291242,tourism,15.0,False,Q585462,en:Timken Museum of Art,,nan,https://www.timkenmuseum.org/,,We-Su 10:00-17:00,"('way', 31240330)",ChIJmXZejb1U2YARR7F0GIoN_mQ,Timken Museum of Art,4.7,1062
"Balboa Park, San Diego, San Diego County, California, United States",San Diego Model Railroad Museum,32.7311564,-117.1489202,tourism,15.0,False,Q7413693,,,nan,https://www.sdmrm.org/,,Tu-Fr 11:00-16:00; Sa-Su 11:00-17:00,"('node', 1458212924)",ChIJV6IUNpZU2YARm65b3WP7zAQ,San Diego Model Railroad Museum,4.7,1204
"Balboa Park, San Diego, San Diego County, California, United States",Museum of Photographic Arts,32.7311575,-117.1485165,tourism,15.0,False,Q9046984,,,nan,https://mopa.org/,,Fr-Su 11:00-16:00,"('node', 1458213374)",ChIJV6IUNpZU2YAR9VQcaQBF5cA,Museum of Photographic Arts at The San Diego Museum of Art,4.5,568
"Balboa Park, San Diego, San Diego County, California, United States",El Cid,32.7309331,-117.150436,historic,14.0,False,Q109568168,,,nan,nan,,nan,"('node', 1463002061)",ChIJISD6hb1U2YAR-I_f834fNqw,El Cid Statue,,
"Balboa Park, San Diego, San Diego County, California, United States",Museum of Us,32.73151215479422,-117.15241715823943,tourism,14.5,False,Q676968,en:Museum of Us,,nan,https://museumofus.org,,10:00-17:00,"('way', 936855345)",ChIJITq8z71U2YARtcp6IYi3thE,Museum of Us,4.3,2505
"Balboa Park, San Diego, San Diego County, California, United States",Deborah Szekely Activity Center,32.7291762,-117.1498071,tourism,13.635,False,,,,Japanese Friendship Garden,nan,,nan,"('node', 11048431822)",ChIJZ7DFSJhU2YARTiYDze3s5l8,Balboa Park Activity Center,4.6,135
"Balboa Park, San Diego, San Diego County, California, United States",WorldBeat Cultural Center,32.72720891233361,-117.1495748983455,tourism,13.475,False,,,,nan,https://www.worldbeatcenter.org,,nan,"('way', 60194728)",ChIJnzpXD5hU2YAR3JmjWQv7PcI,WorldBeat Cultural Center,4.8,475
"Balboa Park, San Diego, San Diego County, California, United States",Comic-Con Museum,32.7272751753985,-117.15234483782632,tourism,13.5,False,Q115816775,,,nan,https://www.balboapark.org/museums/comic-con-museum,,nan,"('way', 28824920)",ChIJz2BXQZNV2YAR7Rp98JA5FwE,Comic-Con Museum,3.8,1223
"Balboa Park, San Diego, San Diego County, California, United States",Kate Sessions,32.7311394,-117.158395,historic,14.0,False,,,,nan,nan,,nan,"('node', 2771416155)",ChIJE7jBfblU2YARaHhZnHI0tTQ,Kate Sessions Statue,,
"Balboa Park, San Diego, San Diego County, California, United States",Inez Grant Parker Memorial Rose Garden,32.731234964099976,-117.14575347472747,leisure,13.5,False,Q63981853,,,City of San Diego Parks & Recreation,nan,,nan,"('way', 260210616)",ChIJ63CmH5dU2YARTD5Iv8LAGlU,Inez Grant Parker Memorial Rose Garden,4.8,1147
