park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Spanish-American War Monument,42.3376054,-82.9925332,historic,21.5,False,,,,nan,nan,1932,nan,"('node', 6169445607)",ChIJp9hk6DqPOIgR21FIjJqDPuo,Spanish–American War Memorial,4.7,3
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Civil War Monument,42.3366822,-82.9939529,historic,21.0,False,,,,nan,nan,1948-11-11,nan,"('node', 4894343389)",ChIJebE-YcktO4gRJ_v61UhYy4k,Grand Army of the Republic Monument,4.3,3
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Ransom Eli Olds,42.3372519,-82.9932045,historic,19.5,True,,,,nan,nan,nan,nan,"('node', 7247925681)",ChIJebQy197BIogRHM2fKjfZAHA,R.E. Olds Transportation Museum,4.8,581
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States","General O.M. Poe Post No. 443, Grand Army of the Republic",42.3373392,-82.9923227,historic,17.0,True,,,,nan,nan,1923,nan,"('node', 6169445606)",,,,
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",James J. Brady Memorial,42.3392066,-82.9877454,historic,17.5,False,,,,nan,nan,1928-06-23,nan,"('node', 3726954170)",ChIJ8dX9UyPVJIgR71kMcniTAgM,James Brady Monument,4.5,2
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Schiller,42.3414333,-82.9802109,historic,18.0,False,,,,nan,nan,1908-05-11,nan,"('node', 3728142602)",ChIJNZM6M7HUJIgRT-4hO83eNZ8,Schiller Statue,5,3
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Reverend Samuel Francis Smith Flagpole,42.3378721,-82.9763215,historic,17.5,True,,,,nan,nan,1932-07-04,nan,"('node', 4894343390)",ChIJJThbCQDVJIgRrKP_xL04DsQ,Samuel Francis Smith Memorial Flagpole,4,1
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Dante,42.3417484,-82.9804112,historic,16.0,False,,,,nan,nan,1927-07,nan,"('node', 3728142603)",ChIJ3e8kj7HUJIgR7Y4Xb85XUVU,Dante Alighieri Statue,5,1
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Major General Alpheus Starkey Williams,42.3394341,-82.9865505,historic,15.0,False,,,,nan,nan,nan,nan,"('node', 62890052)",ChIJHZbErtnVJIgRLR54524r97Y,Alpheus Starkey Williams Statue,4.4,7
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",James Scott,42.3351576,-82.9989426,historic,18.0,False,,,,nan,nan,1923,nan,"('node', 6160033107)",ChIJSzU7iKwsO4gRwhh5MxUWGzk,James Scott Memorial Fountain,4.7,1363
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",James Scott Memorial Fountain,42.334993252333426,-82.99942564613353,amenity,11.0,False,,,,nan,nan,1925-05-31,nan,"('relation', 9146545)",ChIJSzU7iKwsO4gRwhh5MxUWGzk,James Scott Memorial Fountain,4.7,1363
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Belle Isle Sunset Point,42.3331082,-83.0049143,tourism,10.5,False,,,,nan,nan,nan,nan,"('node', 10056327048)",ChIJl8Ox3_stO4gRqL4XiiJ80y8,Belle Isle Sunset Point Photo Frame,4.7,20
"Belle Isle, 99, Detroit, Wayne County, Michigan, 48207, United States",Sunset Point,42.3334028,-83.004023,tourism,8.0,False,,,,nan,nan,nan,nan,"('node', 4894381950)",ChIJZxrmB7IsO4gRF0POUvQvHek,Sunset Point,4.7,808
