park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Edward A. Filene Memorial,42.3526888,-71.067006,historic,21.0,True,,,,nan,nan,1959,nan,"('node', 8038281084)",ChIJExjYS2d744kR9bhCJLIHLVQ,Edward A. Filene Historical Marker,5,3
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",The Founders Memorial,42.3564942,-71.0675817,historic,20.5,False,Q74853918,en:The Founders Memorial,,nan,https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!18171~!0#focus,1930,nan,"('node', 7610220646)",ChIJlxjz-ZRlXj4RMUjT0CINiqg,The Founder’s Memorial,4.8,970
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Royal Navy Plaque,42.3545707,-71.0684009,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 7898914621)",,,,
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",William Billings,42.3525974,-71.0656941,historic,17.0,True,,,,nan,https://www.findagrave.com/memorial/6686735/william-billings,nan,nan,"('node', 8037423471)",,,,
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Declaration of Independence Tablet,42.354631,-71.0639058,historic,17.0,True,Q75157708,en:Declaration of Independence Tablet,,nan,https://siris-artinventories.si.edu/ipac20/ipac.jsp?&profile=ariall&source=~!siartinventories&uri=full=3100001~!297740~!0#focus,1925,nan,"('node', 7610330938)",,,,
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",IEEE Milestone,42.3564683,-71.0625026,historic,17.0,True,,,,nan,"https://ethw.org/Milestones:Power_System_of_Boston%27s_Rapid_Transit,_1889",2004-11-10,nan,"('node', 7965366331)",ChIJl_uDvlXGw4kRa6vcl4FNeUo,IEEE History Center,3,1
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Robert Gould Shaw and Fifty-fourth Regiment Memorial,42.3574806,-71.0635011,historic,15.748,False,Q7344886,,,nan,nan,1897-05-31,nan,"('node', 358276404)",ChIJ0Xkqmpxw44kRgLwIjaLV5aI,Robert Gould Shaw and the 54th Regiment Memorial,4.7,248
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Soldiers and Sailors Monument,42.3554667,-71.0664122,historic,15.647,False,Q7557410,en:Soldiers and Sailors Monument (Boston),,nan,nan,nan,nan,"('node', 358277245)",ChIJXRocxp1w44kRSVQCdbkksCQ,Soldiers and Sailors Monument,4.6,147
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",1965 Freedom Plaza,42.35493977681908,-71.06436413718437,historic,15.5,False,,,,nan,nan,2023-01-13,nan,"('way', 1132661865)",ChIJ5VlkCY5x44kRI1TG3itpURM,Parkman Plaza,4.7,6
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Parkman Bandstand,42.35434039069397,-71.06550320834062,historic,13.653,False,Q7138603,en:Parkman Bandstand,,Boston Parks & Recreation Department,nan,1912,nan,"('way', 29576185)",ChIJWU76kJ1w44kRFLFxgO2RS1Y,Parkman Bandstand,4.5,153
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Blackstone Memorial Tablet,42.3566188,-71.0622493,historic,14.0,False,Q49474966,,,nan,nan,nan,nan,"('node', 358276784)",ChIJiRuZBo9w44kRtcpvseUofZA,Blackstone Block Historic District,,
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",The Embrace,42.3549357,-71.0643618,historic,12.717,False,Q116200888,en:The Embrace,,nan,nan,2023-01-13,nan,"('node', 10552518542)",ChIJ20Pcosdx44kRsHovjEu7-fc,The Embrace,4.2,217
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Victory,42.3542792,-71.0644098,historic,12.105,False,Q74180696,en:Boston Massacre Monument,,nan,nan,nan,nan,"('node', 7610330937)",ChIJycaHzYJw44kRg88odyPkewE,Victoria's Jewelry,3.1,105
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Oneida Tablet,42.356232,-71.0671781,historic,12.5,False,Q501160,en:Oneida Football Club,https://i2.wp.com/SoccerHistoryUSA.org/wp-content/uploads/2014/12/487607258_14a886fa1d_z.jpg,nan,https://soccerhistoryusa.org/episode-notes/the-oneida-football-club/,1862,nan,"('node', 7936014543)",ChIJXT1sh8p32YkR2aV-e2SnW4k,Walmart Supercenter,3.8,2644
"Boston Common, Beacon Hill, Boston, Suffolk County, Massachusetts, United States",Religion,42.3554838,-71.0635657,tourism,11.0,False,,,,nan,nan,nan,nan,"('node', 8038753709)",ChIJpS60CuyBt4cRoM33OhJGN_s,Dar al-Islam of Boston,4.4,8
