park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",George Washington Statue,42.3538483,-71.070949,historic,20.5,False,Q20631770,en:Equestrian statue of George Washington (Boston),,nan,nan,nan,nan,"('node', 358276954)",ChIJs0lLd3V644kRTjSbkMXPSDI,George Washington Statue,4.8,522
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Ether Monument,42.3548286,-71.0714514,historic,19.588,False,Q3718507,en:Ether Monument,,nan,nan,nan,nan,"('node', 358276904)",ChIJMeuQ2Z9w44kREGXiqsqbTw8,Ether Monument,4.6,88
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Swan Boat Landing,42.3539923,-71.0695294,historic,19.0,True,,,,nan,nan,nan,nan,"('node', 7697964379)",ChIJLa3DXXV644kRX6eRNTfLp6s,Swan Boats,4.7,810
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",9/11 Memorial,42.352723747334096,-71.07078022889374,historic,19.0,False,Q85748383,en:Boston Public Garden 9/11 Memorial,,Friends of the Public Garden,http://massfund.org/memorials-remembrance/boston-public-garden-memorial/,nan,nan,"('way', 825639016)",ChIJXfOICHV644kRRvQ_UubPMO4,Garden of Remembrance 9/11 Memorial,3.9,22
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",George Robert White Memorial,42.3553535,-71.0721559,historic,17.5,False,,,,nan,nan,nan,nan,"('node', 7610246635)",ChIJoWiB6J9w44kRETvYQ4uwG_o,George Robert White Memorial,4.7,34
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Garden of Remembrance,42.35272797260832,-71.07075064719258,historic,15.0,False,,en:Boston Public Garden 9/11 Memorial,,nan,nan,nan,nan,"('way', 814734751)",ChIJXfOICHV644kRRvQ_UubPMO4,Garden of Remembrance 9/11 Memorial,3.9,22
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Marvin E. Goody Memorial,42.353614,-71.0686,historic,14.5,False,Q85784067,en:Marvin E. Goody Memorial,,nan,nan,1984,nan,"('node', 7610330940)",ChIJkR_b_nR644kRTZdQ_v4PwW8,Goody Clancy,4,3
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Edward Everett Hale Statue,42.3545285,-71.0687582,tourism,14.0,False,Q49485910,en:Statue of Edward Everett Hale,,nan,nan,nan,nan,"('node', 4408379857)",ChIJ3zbIG55w44kRtN_sk547A9M,Edward Everett Hale Monument,4.8,20
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Make Way For Ducklings,42.35551192024457,-71.06975763511885,tourism,13.5,False,Q85783364,en:Make Way for Ducklings (Schön),,nan,https://schon.com/public/ducklings-boston.php,1987-10-04,nan,"('way', 236603393)",ChIJsWD2R55w44kRQRuUCMhudXo,Make Way for Ducklings - Nancy Schön,4.8,1225
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",William Ellery Channing Statue,42.3521852,-71.0706812,tourism,14.0,False,Q85803348,en:Statue of William Ellery Channing,,nan,nan,nan,nan,"('node', 358277291)",ChIJiR49AHV644kRHePbrxJO8C0,William Ellery Channing Statue,4.8,5
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Tadeusz Kościuszko,42.3525622,-71.0690891,tourism,12.0,False,,,,nan,nan,nan,nan,"('node', 4074813883)",ChIJrePZpHV644kRaupqiZRD-00,Tadeusz Kosciuszko Statue,4.9,32
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Wendell Phillips,42.352698,-71.0684285,tourism,12.0,False,Q70036445,en:Statue of Wendell Phillips,,nan,nan,nan,nan,"('node', 7610246670)",ChIJ37Pe3HV644kR_M-UnzwXIzY,Wendell Phillips Statue,4.9,15
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Thomas Cass,42.352629,-71.0687804,tourism,11.5,False,Q70282538,en:Statue of Thomas Cass,,nan,nan,nan,nan,"('node', 7610246671)",ChIJn2amxnV644kRquvLBPsb7sk,Thomas Cass Statue,4.7,10
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Charles Sumner,42.3524109,-71.0698331,tourism,11.5,False,Q85803311,en:Statue of Charles Sumner (Boston),,nan,nan,nan,nan,"('node', 4074813882)",ChIJeaDVsXV644kRVwgyuZO7sfw,Charles Sumner Statue,4.5,10
"Boston Public Garden, 4, Beacon Hill, Boston, Suffolk County, Massachusetts, 02116, United States",Small Child,42.3538894,-71.0713337,tourism,12.0,False,Q85801636,en:Small Child Fountain,,Friends of the Public Garden,https://friendsofthepublicgarden.org/our-parks/the-garden/,1929,nan,"('node', 4408379859)",ChIJewpU-utx44kRfNeEjWFSuEQ,kodomo boston - children's clothing,5,3
