park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Houston Police Officers' Memorial,29.762837931012527,-95.3830604990857,historic,15.737,False,Q5916674,en:Houston Police Officer's Memorial,,nan,nan,nan,,"('way', 49048383)",ChIJvXFz2k-_QIYRw_4JUnlCZLc,Houston Police Department Memorial,4.7,237
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Large Spindle Piece,29.7617463,-95.3835839,tourism,9.5,False,Q19759083,,,nan,nan,nan,,"('node', 2641138297)",ChIJtQWOIFC_QIYRA-Xc6y5eKzU,Spindle Sculpture by Henry Moore,4.6,10
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Tolerance,29.761973,-95.3919294,tourism,10.061,False,Q21203871,en:Tolerance (sculpture),,nan,nan,nan,,"('node', 2641138296)",ChIJBQPRole_QIYR46f96_Y_otM,Tolerance (Plensa) Statues,4.8,61
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Gus S. Wortham Memorial Fountain,29.7618932,-95.3959402,amenity,10.596,False,,,,nan,https://www.houstontx.gov/parks/artinparks/gusworthamfountain.html,nan,,"('node', 2133832703)",ChIJQ72zXKjAQIYR7NamxVCvrsg,Gus S. Wortham Fountain,4.7,96
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Waugh Bridge,29.7620655916311,-95.39852541910906,man_made,10.064,False,,,,nan,nan,nan,,"('way', 628597373)",ChIJcWhIwKjAQIYRptx4YWjp9G8,Waugh Drive Bridge,4.8,64
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Lost Lake Visitor Center,29.7609919,-95.4020602,tourism,9.553,False,,,,nan,https://buffalobayou.org/venue/lost-lake-visitor-center/,nan,,"('node', 10092258093)",ChIJm7TsfKXAQIYRGknaHce4Np8,Lost Lake Visitor Center,4.5,53
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Lost Lake,29.76087038236949,-95.40176036038213,natural,4.833,False,,,,nan,nan,nan,,"('way', 1102898597)",ChIJT9RzSeTwlVQRZePbpTj2fwo,Lost Lake,4.7,333
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Shady Grove,29.7616823,-95.3799232,tourism,8.572,False,,,,nan,nan,nan,,"('node', 4324585725)",ChIJ6VT98Q7AQIYRif-JITzTVdc,Shady Grove Fertility in Houston - Texas Medical Center,4.2,72
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Passage Inachevé,29.7626581,-95.3800254,tourism,8.0,False,,,,nan,nan,nan,,"('node', 2641138298)",,,,
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Open Channel Flow,29.762653,-95.3774826,tourism,8.0,False,,,,nan,nan,nan,,"('node', 4324585726)",ChIJd6qMBDFhX4gRbRpKcW3CSFU,Openchannelflow,,
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",Down Periscope,29.7622979,-95.3765987,tourism,8.0,False,,,,nan,http://houstonperiscope.com/,nan,,"('node', 5934503247)",,,,
"Buffalo Bayou Park, Fourth Ward, Houston, Harris County, Texas, United States",PAUSE sign,29.7605964,-95.3766033,tourism,8.0,False,,,,nan,nan,nan,,"('node', 10609128193)",,,,
