park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",IN CELEBRATION,33.7593785,-84.3928881,historic,17.0,True,,,,nan,,,,"('node', 11983550262)",ChIJ7XGWzVAoNqMReX_7j93ws6g,Special Celebrations Party Rentals,5,4
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",100,33.7596207,-84.3922803,historic,15.0,True,,,,nan,,,,"('node', 11983576237)",ChIJTVqYErAF9YgRG8kGEn7OK94,Monkey 100,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Quilt of Dreams,33.7604208,-84.3923562,historic,12.276,False,,,,nan,,,,"('node', 6545927481)",ChIJObEogTwT9YgRrUhA3hEJq4A,Tiny Stitches,4.8,276
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Ivan Allen Tribute,33.7593369,-84.3942615,historic,12.5,False,,,,nan,,,,"('node', 9401702063)",ChIJ9QThLnwE9YgR3SKyKL-RIpo,Ivan Allen Jr Blvd NW @ Lovejoy St,4,2
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Baron Pierre de Coubertin Statue,33.7604273,-84.3935584,tourism,12.0,False,,,,nan,,,,"('node', 6546050164)",ChIJIRYhpn8E9YgRWy0NPvzLU1M,Centennial Olympic Park,4.6,15379
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Quilt of Origins,33.7609972,-84.3923548,historic,12.0,False,,,,nan,,,,"('node', 6545993614)",ChIJlXzsJQAF9YgRbQejF4d5hkA,Quilt of Origins,5,2
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Quilt of the Olympic Spirit,33.7612905,-84.3923454,historic,12.0,False,,,,nan,,,,"('node', 6546003922)",ChIJlXzsJQAF9YgRbQejF4d5hkA,Quilt of Origins,5,2
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Paralympic Legacy Monument,33.7620115,-84.3926935,historic,12.0,False,,,,nan,,,,"('node', 6546015747)",ChIJZViciocF9YgRZtcwArEnuE0,Paralympic Legacy Monument,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Quilt of Nations,33.7615778,-84.3923435,historic,10.0,False,,,,nan,,,,"('node', 6546015748)",ChIJ_4MUKQAF9YgRZv_KXhc-pD8,Quilt of Nations,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Quilt of Remembrance,33.7607129,-84.3923508,historic,10.0,False,,,,nan,,,,"('node', 6545993613)",ChIJZVHgYgAF9YgRfTwfSNYTh1E,Quilt of Remembrance,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Androgyne Planet Sculpture,33.7620359,-84.3923084,tourism,8.0,False,,,,nan,,,,"('node', 9401738166)",ChIJaZAcPwAF9YgRO6J4EmeIeRg,"""The Splendid"" Sculpture",5,2
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Fountain of Rings,33.75949594936692,-84.39288680000504,tourism,6.9719999999999995,False,,,,nan,,,,"('way', 40697210)",ChIJCfa3b38E9YgRXnmklq2U9OI,Fountain of Rings,4.6,472
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",024,33.759106,-84.3929026,tourism,6.0,False,,,,nan,,,,"('node', 566487983)",,,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",023,33.7590927,-84.3923821,tourism,6.0,False,,,,nan,,,,"('node', 566487994)",,,,
"Centennial Olympic Park, 265, Five Points, Atlanta, Fulton County, Georgia, 30313, United States",Visitor Center,33.7593014,-84.3935092,tourism,6.0,False,,,,Georgia World Congress Center Authority,,,,"('node', 6546605899)",ChIJ3c20TXgE9YgR0RnkDKtRu8M,Visitor Information Center,3,1
