park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Central Park, New York County, New York, United States",Naturalists Gate,40.7793435,-73.9734422,historic,26.0,True,,,,nan,https://www.nycgovparks.org/parks/central-park/monuments/1086,nan,nan,"('node', 7106318826)",ChIJn761MQVZwokREknJC1pcRpU,Naturalists Gate,,
"Central Park, New York County, New York, United States",Strawberry Fields,40.7754204,-73.9747419,historic,24.0,True,Q1156980,en:Strawberry Fields (memorial),,nan,https://www.centralparknyc.org/locations/strawberry-fields,1985-10-09,nan,"('node', 4815674630)",ChIJlRYp-4xYwokRqtwtQBYVz80,Strawberry Fields,4.6,573
"Central Park, New York County, New York, United States",Women's Rights Pioneers Monument,40.7707115,-73.9723903,historic,24.092,False,Q104646228,en:Women's Rights Pioneers Monument,,nan,https://www.nycgovparks.org/parks/central-park/monuments/2216,2020-08-26,nan,"('node', 8529577188)",ChIJnfVbyBBZwokR1B3UVruJeto,Women's Rights Pioneers Monument,4.8,92
"Central Park, New York County, New York, United States",Sled dogs memorial plaque,40.7699908,-73.9710028,historic,24.0,True,Q86249616,en:Statue of Balto,,nan,https://www.nycgovparks.org/parks/central-park/monuments/75,1925-12-17,nan,"('node', 3126149298)",ChIJU0MHie1YwokReOT8XBMbxzU,Balto Statue,4.7,2500
"Central Park, New York County, New York, United States",Navy Walk Tablet,40.7742742,-73.9713357,historic,21.084,True,,,,nan,https://www.nycgovparks.org/parks/central-park/monuments/1089,1947-05-14,nan,"('node', 10828746354)",ChIJ37VDfbVbwokROA2_q32VBvg,Ingersoll Management Office,3.8,84
"Central Park, New York County, New York, United States",Richard Morris Hunt,40.7714555,-73.9679875,historic,20.0,False,Q18156903,en:Richard Morris Hunt Memorial,,nan,https://www.nycgovparks.org/parks/central-park/monuments/756,1898,nan,"('node', 357620718)",ChIJwWqaWkdZwokRh3us6_bs0n0,The Richard Morris Hunt Memorial,5,5
"Central Park, New York County, New York, United States",107th Infantry Memorial,40.7693306,-73.969557,historic,20.0,False,Q17507904,en:107th Infantry Memorial,,nan,https://www.nycgovparks.org/parks/central-park/monuments/1136,1927,nan,"('node', 2727025884)",ChIJk-q7uO1YwokRD1ZQllZy8Wc,107th Infantry Memorial,,
"Central Park, New York County, New York, United States",Balto,40.7699607,-73.9710098,historic,19.0,False,Q86249616,en:Statue of Balto,,nan,https://www.nycgovparks.org/parks/central-park/monuments/75,1925-12-17,nan,"('node', 2727025839)",ChIJU0MHie1YwokReOT8XBMbxzU,Balto Statue,4.7,2500
"Central Park, New York County, New York, United States",7th Regiment Memorial,40.7737621,-73.9764403,tourism,20.0,False,Q17194243,,,nan,https://www.nycgovparks.org/parks/central-park/monuments/1427,1874-06,nan,"('node', 2727025888)",ChIJxdF4UvNYwokRN2Jdhhh-baE,7th Regiment Memorial,,
"Central Park, New York County, New York, United States",Adventure Playground,40.7734181,-73.9773311,historic,19.0,True,,,,nan,nan,nan,nan,"('node', 7952829146)",ChIJD3HPWPNYwokRQvUP1_qET6E,Tarr-Coyne Tots Playground,4.8,40
"Central Park, New York County, New York, United States",Marc Haas Memorial,40.7726304,-73.9739199,historic,19.0,True,,,,nan,nan,2000,nan,"('node', 10828746343)",ChIJKZx7OvhYwokRzkDPD78x_Ps,alex haas,,
"Central Park, New York County, New York, United States",The Falconer,40.7740994,-73.9738182,tourism,16.0,False,Q3793894,,,nan,https://www.nycgovparks.org/parks/central-park/monuments/461,nan,nan,"('node', 8873736445)",ChIJPQYC9YxYwokREoLOWC0dSmM,The Falconer,4.8,26
"Central Park, New York County, New York, United States",Temple of Dendur,40.7804473,-73.9626445,historic,19.161,False,Q1186970,en:Temple of Dendur,,nan,https://www.metmuseum.org/art/collection/search/547802,nan,nan,"('node', 4451144258)",ChIJHQkeC5dYwokREy4FXtBt4rI,Temple of Dendur,4.8,161
