park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Louisiana Children's Museum,29.9899495,-90.0940194,tourism,15.0,False,,,,nan,https://www.lcm.org,,We-Sa 09:30-16:30; Su 11:30-16:30; Mo-Tu closed,"('node', 4146220596)",ChIJuSKUfHGmIIYRp8gUWDfhtdo,Louisiana Children's Museum,4.5,2070
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",New Orleans Museum of Art,29.986497750958353,-90.09341323723154,tourism,15.0,False,Q2063082,en:New Orleans Museum of Art,,nan,https://noma.org/,,"Tu,Th-Su 10:00-17:00; We 12:00-19:00; Mo closed","('way', 325825515)",ChIJYRCgqEKvIIYR8SRec2onF50,New Orleans Museum of Art,4.7,5083
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Sydney & Walda Besthoff Sculpture Garden,29.987183688655932,-90.09389262580528,tourism,13.5,False,,,,New Orleans Museaum of Art,nan,,Mo-Su 10:00-17:00,"('way', 486913725)",ChIJ7WG3D2ivIIYR6h9SkhZMXtY,Sydney and Walda Besthoff Sculpture Garden,4.8,1379
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Sydney & Walda Besthoff Sculpture Garden Information,29.985808682120343,-90.09404635471057,tourism,11.5,False,,,,nan,nan,,nan,"('way', 325825534)",ChIJ7WG3D2ivIIYR6h9SkhZMXtY,Sydney and Walda Besthoff Sculpture Garden,4.8,1379
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",New Orleans Botanical Gardens,29.987511938157443,-90.0963074591528,tourism,11.0,False,Q7010698,en:New Orleans Botanical Garden,,nan,nan,,nan,"('way', 591049489)",ChIJQ5_Ht2ivIIYRtuFz9D-6d0M,New Orleans Botanical Garden,4.7,1465
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Oscar J. Tolmas Visitor Center,29.987075620292693,-90.09756030995074,tourism,9.783,False,,,,nan,nan,,nan,"('way', 325825419)",ChIJmeYwZ2ivIIYRkUtaYI1kAZw,Oscar J. Tolmas Visitor Center,4.7,283
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Patrick Butler Memorial,29.9840708,-90.0971221,amenity,10.5,False,,,,nan,nan,,nan,"('node', 4758515699)",ChIJNacgQGavIIYRRcrJ3PCgE2E,Owen/Butler Memorial Fountain,4.7,15
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Historic Oak Grove,29.984102,-90.096208,tourism,8.0,False,,,,nan,nan,,nan,"('node', 5421434021)",ChIJCarDFGavIIYRmPr_tGVty24,Historic Oak Grove,4.9,47
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Storyland,29.986967150782295,-90.09821264078803,tourism,7.5,False,,,,nan,https://neworleanscitypark.org/visit-city-park/Storyland/,,nan,"('way', 591049488)",ChIJC1w8RG-vIIYRwJdRdHfPe6s,Storyland,4.4,795
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Jendiva 2001,29.9910164,-90.0986865,tourism,8.0,False,,,,nan,nan,,nan,"('node', 6564125590)",,,,
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Little Lake,29.990134416714483,-90.09449175241376,natural,4.5,False,,,,nan,nan,,nan,"('way', 43422167)",ChIJxT5svWmvIIYRBsfRqiw-n38,Little Lake,4.7,3
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Dueling Oak,29.9860934,-90.0940474,natural,5.05,False,,,,nan,nan,,nan,"('node', 4756320902)",ChIJQ_joCWivIIYRSUD911Xsrlc,Duelling Oak,4.8,50
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",Bayou Metairie,29.985700316863245,-90.09401482382451,natural,5.0,False,,,,nan,nan,,nan,"('relation', 307008)",ChIJsWjgnWWvIIYRPuvUzh--YX4,Bayou Metairie,4.9,8
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",McDonogh Oak,29.984026,-90.0950888,natural,5.204000000000001,False,,,,nan,nan,,nan,"('node', 4756320903)",ChIJ8-iEt2evIIYR8g6sGNJoA8s,McDonogh Oak,4.9,204
"City Park, Lakeview, New Orleans, Orleans Parish, Louisiana, United States",giant live oak,29.9841776,-90.0957994,natural,5.204000000000001,False,,,,nan,nan,,nan,"('node', 4758515695)",ChIJ8-iEt2evIIYR8g6sGNJoA8s,McDonogh Oak,4.9,204
