park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Monument au Fantome,29.7533427,-95.3583539,tourism,16.0,False,Q18880407,en:Monument au Fantôme,,,nan,,nan,"('node', 4322352014)",ChIJNcaqgwC_QIYRReaVY4Ew2Aw,Monument Au Fantome by Jean Dubuffet,4.9,9
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Donor Walls,29.752739108626983,-95.35886037014164,historic,12.0,False,,,,,nan,,nan,"('way', 433640048)",,,,
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",George R. Brown,29.7528775,-95.3600775,tourism,12.0,False,,,,,nan,,nan,"('node', 4322547456)",ChIJux2LIyW_QIYR2T4aJ0P5MBw,George R. Brown Convention Center,4.5,7434
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Synchronity of Color - Red,29.7531436,-95.3600865,tourism,10.0,False,,,,,nan,,nan,"('node', 4322377693)",ChIJoYQiXim_QIYRbGhIN0uEr18,Synchronicity of Color by Margo Sawyer-City of Houston Public Art Collection #HouCityArt,5,3
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Synchronity of Color - Blue,29.7525383,-95.3590814,tourism,10.0,False,,,,,nan,,nan,"('node', 4322377694)",ChIJoYQiXim_QIYRbGhIN0uEr18,Synchronicity of Color by Margo Sawyer-City of Houston Public Art Collection #HouCityArt,5,3
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Bernice Hevrdejs Butterfly Garden and Sanders Hummingbird Garden,29.752507654400382,-95.35953311703261,leisure,9.0,False,,,,,nan,,nan,"('way', 433640049)",ChIJJUo2UyK_QIYRI_nLX1af7Qg,Discovery Green,4.7,21206
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Allen Family Rose Garden,29.752186124304654,-95.35935506763032,leisure,9.0,False,,,,,nan,,nan,"('way', 433713069)",ChIJJUo2UyK_QIYRI_nLX1af7Qg,Discovery Green,4.7,21206
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Wortham Foundation Gardens,29.752282764518032,-95.35994016749002,leisure,9.0,False,,,,,nan,,nan,"('way', 433713070)",ChIJF6sxQ6jAQIYRx0sgRVd7gVc,Wortham Foundation Grove,4.8,4
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Lily Chen Foster Garden,29.75311796666666,-95.36057996666666,leisure,8.905,False,,,,,nan,,nan,"('way', 433713103)",ChIJn8h3mj7BQIYRcnlsNUjL91Q,Asia Society Texas Center,4.7,405
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Lindsey Waterside Landing & Garden,29.753484587481346,-95.35859202675765,leisure,9.0,False,,,,,nan,,nan,"('way', 128570115)",ChIJJUo2UyK_QIYRI_nLX1af7Qg,Discovery Green,4.7,21206
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Cooper Industries Water Garden,29.753702225563057,-95.35843129601606,leisure,9.0,False,,,,,nan,,nan,"('way', 433627348)",ChIJa0oElDq_QIYR-qx8xxGGqKA,Cooper Industries INC,5,1
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Vinson & Elkins Garden,29.75405117934427,-95.36045232319367,leisure,8.5,False,,,,,nan,,nan,"('way', 128570106)",ChIJr9ZsYDu_QIYRPWM3txDh4AQ,Vinson & Elkins LLP,4.6,18
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Mist Tree,29.753660505881218,-95.36064752029661,tourism,8.0,False,,,,,nan,,nan,"('way', 128570117)",ChIJJSpWACO_QIYRiIGyhrD07bM,Mist Tree,,
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Jackie Martin Family Scent Garden,29.75205361312949,-95.35987240394522,leisure,8.5,False,,,,,nan,,nan,"('way', 433713077)",ChIJJcZ3u1i-QIYRAZfdZVl4TiY,Jenkins Garden,4.6,8
"Discovery Green, 1500, Downtown, Houston, Harris County, Texas, 77010, United States",Listening Vessels,29.7520076,-95.3598981,tourism,8.0,False,,,,,nan,,nan,"('node', 4322521698)",ChIJx21wqyO_QIYR6c47fQYhF_E,Listening Channel,,
