park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Birds Nest 1,47.6570126,-122.4219436,tourism,11.0,False,,,,nan,nan,nan,nan,"('node', 1237958085)",ChIJxz6N5F0VkFQRDrob9Alswns,The Birds Nest,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Birds Nest 2,47.6569655,-122.4216865,tourism,11.0,False,,,,nan,nan,nan,nan,"('node', 1237958883)",ChIJxz6N5F0VkFQRDrob9Alswns,The Birds Nest,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Lawton Point,47.656408,-122.4205355,tourism,10.551,False,,,,nan,nan,nan,nan,"('node', 1237960512)",ChIJS4b5YPMVkFQRQ_80v_z6z6w,Chapel - Ft. Lawton Historic District,4.6,51
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Leaf Legend,47.6577706,-122.4062867,tourism,10.5,False,,,,nan,nan,nan,nan,"('node', 3211770261)",ChIJV40IWfkTkFQRv-v2Pa23PF0,Legend House Apartments,4,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Ripple Sculptures,47.65745,-122.406217,tourism,10.0,False,,,,nan,nan,nan,nan,"('node', 3211770259)",,,,
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Discovery Park Environmental Learning Center,47.65761265840185,-122.40639237596399,tourism,7.125,False,,,,nan,nan,nan,Tu-Su 08:30-17:00,"('way', 159547037)",ChIJZSw0oPIVkFQRk6I02DVKPT0,Discovery Park Visitor Center,4.4,125
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Strata Benches,47.657467,-122.40645,tourism,7.0,False,,,,nan,nan,nan,nan,"('node', 3211770260)",,,,
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Discovery Park Loop Trail,47.6637115,-122.4136588,tourism,8.0,False,,,,Seattle Parks and Recreation,nan,nan,nan,"('node', 6755478801)",ChIJG5fOrfQVkFQRMcLvcDWzJeE,Loop Trail,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Wolf Tree Nature Trail,47.6658553,-122.4131908,tourism,8.0,False,,,,nan,nan,nan,nan,"('node', 4215944693)",ChIJr3IafvcVkFQRPBDX2psYDwQ,Wolf Tree Nature Area,4.9,12
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Discovery Park Loop Trail,47.664417,-122.4174774,tourism,8.0,False,,,,Seattle Parks and Recreation,nan,nan,nan,"('node', 6755465858)",ChIJG5fOrfQVkFQRMcLvcDWzJeE,Loop Trail,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Discovery Park Loop Trail,47.6641247,-122.4196512,tourism,8.0,False,,,,Seattle Parks and Recreation,nan,nan,nan,"('node', 6755492646)",ChIJG5fOrfQVkFQRMcLvcDWzJeE,Loop Trail,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Discovery Park Loop Trail,47.6633834,-122.4210368,tourism,8.0,False,,,,Seattle Parks and Recreation,nan,nan,nan,"('node', 6755482402)",ChIJG5fOrfQVkFQRMcLvcDWzJeE,Loop Trail,5,3
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Lookout Bench,47.6597206,-122.4286843,tourism,7.5,False,,,,nan,nan,nan,nan,"('node', 1237943012)",ChIJn4-NrXAVkFQRgB30tOAoEmI,Trail Outlook,4.5,11
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",Share the Shore with Harbor Seals,47.6614124,-122.4341578,tourism,7.5,False,,,,nan,nan,nan,nan,"('node', 4216167990)",ChIJQ_oEiK1qkFQRg3bU4l3mmWs,Seattle Aquarium,4.3,21598
"Discovery Park, 3801, Magnolia, Seattle, King County, Washington, 98199, United States",West Point Light,47.66197161430247,-122.43574424123588,man_made,6.0,False,Q7986262,en:West Point Light,,nan,https://www.seattle.gov/parks/allparks/discovery-park,1881,nan,"('way', 101657263)",ChIJBV2stQM-kFQRKppAFLB6HKg,West Point Lighthouse,4.6,1022
