park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",William Wallace Monument,39.3173632,-76.6413441,historic,23.0,False,,,,nan,nan,1893,,"('node', 2198902596)",ChIJw4vbTDMbyIkRazwEXrgAkX8,The William Wallace Monument,4.4,10
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Columbus Monument,39.31942,-76.6418913,historic,20.5,False,Q15649085,,,nan,nan,1892,,"('node', 4753852913)",ChIJuwLcS7gFyIkRKNl1KiCt-M4,Columbus Obelisk,4,1
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States","Harvey J. Burns, Jr. Memorial",39.3199725,-76.6346133,historic,21.0,True,,,,nan,nan,nan,,"('node', 9142686897)",ChIJJTaKG1QFyIkRNzfv8nDSL9I,Gravestone of Johann Baier,5,1
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Pool No. 2 Memorial,39.32287953899282,-76.6394153143103,historic,17.0,False,,,,nan,https://explore.baltimoreheritage.org/items/show/500,nan,,"('way', 980200520)",ChIJx5wXSQsFyIkRXMrlN4TeN20,Memorial Pool,,
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Richard Wagner Memorial Bust,39.3213349,-76.6457559,historic,17.5,False,,,,nan,nan,nan,,"('node', 2198902932)",ChIJgVbb1b3xMIgRfKydhm8yl-E,Richard Wagner Statue,4.5,10
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",George Washington Statue,39.3175904,-76.6427375,tourism,14.0,False,,,,nan,nan,1857,,"('node', 2198902622)",ChIJHVCJMZgEyIkReAPQrpbbKV4,Washington Monument,4.6,1028
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Howard P. Rawlings Conservatory,39.3185500942513,-76.645813497346,tourism,9.5,False,Q5920617,en:Howard Peters Rawlings Conservatory and Botanic Gardens of Baltimore,,nan,https://rawlingsconservatory.org/,nan,,"('way', 107555144)",ChIJQRzowDMbyIkRBVGP87U8PZk,Rawlings Conservatory,4.8,879
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Grooming Cheatah,39.3247817,-76.6428163,tourism,10.152000000000001,False,,,,nan,nan,nan,,"('node', 11110366274)",ChIJlwCjOKkayIkRPBhtgu3NV5k,Scrubadub Dog,4.8,152
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Gorilla,39.3258239,-76.6431505,tourism,9.5,False,,,,nan,nan,nan,,"('node', 12768728592)",ChIJpY3s5q4byIkRfgB04-vxzy0,ShopRite of Howard Park,4.3,3480
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Elephant Overlook,39.3237368,-76.6411587,tourism,9.0,False,,,,nan,nan,nan,,"('node', 9988520613)",ChIJyQPMKi0byIkRPzRfv7Wducg,Elephant Overlook,,
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Penguin Coast,39.3252281288681,-76.6449968647402,tourism,8.074,False,,,,nan,nan,nan,,"('relation', 15546366)",ChIJgzD5dKYbyIkRmLc1j5gzkXE,Penguin Coast,4.8,74
"Druid Hill Park, Park Heights, Baltimore, Maryland, United States",Otter Rocks,39.3229056,-76.6495994,tourism,8.0,False,,,,nan,nan,1993,,"('node', 7833999830)",ChIJb-xfOOR-s0wRODEORijGE-k,Otter Rocks,,
