park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Flushing Meadows-Corona Park, Queens County, New York, United States",Soul in Flight: Arthur Ashe Memorial,40.7487528,-73.8463826,tourism,20.0,False,,,,nan,https://www.nycgovparks.org/parks/flushing-meadows-corona-park/monuments/1908,2000-08-28,nan,"('node', 2610355993)",ChIJzVDky6FfwokRQWfUB51JLQ0,Soul In Flight: Arthur Ashe Memorial,5,2
"Flushing Meadows-Corona Park, Queens County, New York, United States",Avenue of Aces,40.750551637145676,-73.84508094980492,historic,19.315,True,,,,USTA Foundation,https://www.ustafoundation.com/avenue-of-aces/,nan,nan,"('way', 1205972784)",ChIJ9fuk2t5fwokRrD_fOTJYwHQ,Louis Armstrong Stadium,4.8,315
"Flushing Meadows-Corona Park, Queens County, New York, United States",Site of Shea Stadium First Base 1964-2008,40.7555573,-73.8480587,historic,19.0,True,,,,nan,nan,nan,nan,"('node', 5334055583)",ChIJldFHseBfwokRO3aZ8NSVW_U,Citi Field,4.6,28791
"Flushing Meadows-Corona Park, Queens County, New York, United States",Site of Shea Stadium Second Base 1964-2008,40.7557819,-73.8479273,historic,19.0,True,,,,nan,nan,nan,nan,"('node', 5334055582)",ChIJldFHseBfwokRO3aZ8NSVW_U,Citi Field,4.6,28791
"Flushing Meadows-Corona Park, Queens County, New York, United States",Site of Shea Stadium Third Base 1964-2008,40.7558814,-73.8482263,historic,19.0,True,,,,nan,nan,nan,nan,"('node', 5334055584)",ChIJldFHseBfwokRO3aZ8NSVW_U,Citi Field,4.6,28791
"Flushing Meadows-Corona Park, Queens County, New York, United States",Site of Shea Stadium Pitcher's Plate 1964-2008,40.7557158,-73.8481512,historic,18.566,True,,,,nan,nan,nan,nan,"('node', 5334055585)",ChIJ_____95fwokRCi57echKJ-s,Shea Stadium Home Run Apple,4.7,66
"Flushing Meadows-Corona Park, Queens County, New York, United States",Site of Shea Stadium Home Plate 1964-2008,40.7556548,-73.8483564,historic,18.566,True,,,,nan,nan,nan,nan,"('node', 5334055586)",ChIJ_____95fwokRCi57echKJ-s,Shea Stadium Home Run Apple,4.7,66
"Flushing Meadows-Corona Park, Queens County, New York, United States",Unisphere,40.7466539,-73.845506,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 11825855203)",ChIJ4V8gytlfwokR432CV78b2a8,Unisphere,,
"Flushing Meadows-Corona Park, Queens County, New York, United States",Unisphere,40.7467723,-73.8447854,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 11825855198)",ChIJ4V8gytlfwokR432CV78b2a8,Unisphere,,
"Flushing Meadows-Corona Park, Queens County, New York, United States",Unisphere,40.7461185,-73.844635,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 11825855195)",ChIJ4V8gytlfwokR432CV78b2a8,Unisphere,,
"Flushing Meadows-Corona Park, Queens County, New York, United States",Unisphere,40.7459874,-73.8450421,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 11825855192)",ChIJ4V8gytlfwokR432CV78b2a8,Unisphere,,
"Flushing Meadows-Corona Park, Queens County, New York, United States",Queens Museum,40.745873406077905,-73.84674513816778,tourism,15.0,False,Q1320229,en:Queens Museum,,nan,https://queensmuseum.org,nan,nan,"('way', 284856409)",ChIJmWMJBtBfwokR5qK7waLcgAM,Queens Museum,4.5,3467
"Flushing Meadows-Corona Park, Queens County, New York, United States",Free Form,40.7472743,-73.8468096,tourism,14.0,False,,,,nan,https://www.nycgovparks.org/parks/flushing-meadows-corona-park/monuments/553,1964,nan,"('node', 2610388586)",ChIJpZRETiZawokR4QkIAuft4Cg,Free Form Optical,5,1
"Flushing Meadows-Corona Park, Queens County, New York, United States",Freedom of the Human Spirit,40.7478868,-73.8458849,tourism,13.5,False,,,,nan,https://www.nycgovparks.org/parks/flushing-meadows-corona-park/monuments/554,1964,nan,"('node', 2610355987)",ChIJAQDhCdlfwokR-m7ZVo8M8wM,Freedom of the Human Spirit,4.7,48
"Flushing Meadows-Corona Park, Queens County, New York, United States",New York Hall of Science,40.74729036610135,-73.85168461592028,tourism,13.0,False,Q2306200,,,nan,https://nysci.org/,nan,Tu-Su 10:00-17:00,"('way', 284860788)",ChIJG2aZ1wT2wokRzz-VKP0lkJg,New York Hall of Science,4.5,5994
