park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Forest Park, St. Louis, Missouri, 63112, United States",Jewish Tercentenary Monument,38.643113,-90.2656701,historic,19.5,False,,,,nan,https://forestparkmap.org/jewish-tercentenary-monument,1956-11-26,nan,"('node', 4763080451)",ChIJi6zLvSi12IcRP-fFSnGj7ds,Jewish Tercentenary Monument,4.5,4
"Forest Park, St. Louis, Missouri, 63112, United States","Frank Preston Blair, Jr. Statue",38.6439797,-90.265747,historic,16.0,False,,,,nan,https://forestparkmap.org/frank-preston-blair-jr-statue,nan,nan,"('node', 4763080458)",ChIJfeCjsI-12IcRkDjO8LnSdgk,Frank Blair Statue,,
"Forest Park, St. Louis, Missouri, 63112, United States",Korean War Memorial,38.6358837,-90.2792619,historic,15.5,False,,,,nan,https://www.forestparkmap.org/korean-war-memorial,nan,nan,"('node', 2768195250)",ChIJdYhsPD-12IcRFrM6nJMYUyQ,Korean War Memorial,4.5,21
"Forest Park, St. Louis, Missouri, 63112, United States",Turtle Monument,38.6362896,-90.2855764,tourism,15.0,False,,,,nan,nan,nan,nan,"('node', 4763054249)",ChIJ46BjoZS12IcRZZbOBr3Fuck,Turtle Monument Sculpture,4.3,3
"Forest Park, St. Louis, Missouri, 63112, United States",Friedrich Ludwig Jahn Memorial,38.6393363,-90.2900968,historic,14.5,False,,,,nan,nan,nan,nan,"('node', 493884279)",ChIJea4C1US12IcRkOZqbRM_NBs,Friedrich Ludwig Jahn Memorial,4.2,10
"Forest Park, St. Louis, Missouri, 63112, United States",Saint Louis Art Museum,38.6394114,-90.2944862,tourism,15.5,False,Q1760539,en:Saint Louis Art Museum,,nan,https://www.slam.org/,1879,Tu-Th 10:00-17:00; Fr 10:00-21:00; Sa-Su 10:00-17:00,"('node', 265978495)",ChIJVblHble12IcROpacE9yxpJc,Saint Louis Art Museum,4.8,8620
"Forest Park, St. Louis, Missouri, 63112, United States",Edward Bates,38.642727,-90.2960468,historic,15.5,False,,,,nan,nan,nan,nan,"('node', 494220977)",ChIJUc1ZXVe12IcRi-287nzv4jY,Edward Bates Statue,4.7,3
"Forest Park, St. Louis, Missouri, 63112, United States",Musicians Memorial and Fountain,38.6458646,-90.3002627,historic,16.0,False,,,,nan,nan,nan,nan,"('node', 4763103280)",ChIJeZIsw6nK2IcR6ganLjV_GhU,Musicians Memorial and Fountain,4.4,7
"Forest Park, St. Louis, Missouri, 63112, United States",Apotheosis of Saint Louis,38.6397993,-90.29410465000001,tourism,11.574,False,Q4780753,en:Apotheosis of St. Louis,,nan,nan,1903,nan,"('way', 620243258)",ChIJ7XTZM1q12IcRie1z35O531o,Apotheosis of St. Louis,4.7,74
"Forest Park, St. Louis, Missouri, 63112, United States",Art Hill,38.6398976,-90.2940013,natural,5.5,False,,,,nan,nan,nan,nan,"('node', 4763089195)",ChIJTbGBOFq12IcRc1RlfZWQzks,Art Hill,4.9,2596
