park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Franklin Park Zoo Old Bear Cages,42.31135821277236,-71.09383252708793,historic,7.575,False,,,,,nan,,,"('way', 29947658)",ChIJqTrrgtd744kR6MMdWgVFwJQ,Old Bear Dens,4.6,75
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Franklin Park Zoo Old Bear Cages,42.31152842369769,-71.0944437245102,historic,7.575,False,,,,,nan,,,"('way', 212127862)",ChIJqTrrgtd744kR6MMdWgVFwJQ,Old Bear Dens,4.6,75
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Franklin Park Overlook Shelter Ruins,42.30803717531447,-71.09684213245951,historic,7.5649999999999995,False,,,,,http://www.franklinparkcoalition.org/about-franklin-park/places/overlook-shelter-ruins/,,,"('way', 544393958)",ChIJAQAAnNh744kRpG1rVsc-7PQ,Franklin Park - Overlook Ruins,4.7,65
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Schoolmaster Hill,42.303001933752874,-71.09588367512787,historic,7.5,False,,,,,nan,,,"('way', 817937189)",ChIJp3uBot9744kR5aH8bVK-lP0,Schoolmaster Hill,4.6,5
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Schoolmaster Hill,42.30299194458351,-71.09569092861547,historic,7.5,False,,,,,nan,,,"('way', 544398326)",ChIJp3uBot9744kR5aH8bVK-lP0,Schoolmaster Hill,4.6,5
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Budgie Rain Garden,42.3058313052131,-71.09113062656147,leisure,7.0,False,,,,,nan,,,"('way', 1354642651)",ChIJUV7_rOl744kR_OdMIctsbL8,Aussie Aviary,4.8,5
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Organic Garden,42.30604195997067,-71.09028756833732,leisure,7.0,False,,,,,nan,,,"('way', 1354642649)",ChIJf4uDfHZ744kR4b-DtsVcwX8,Organic Garden,5,3
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Franklin Park Historic Rock Garden,42.30659123354078,-71.08894761608664,leisure,6.5,False,,,,,nan,,,"('way', 1352065074)",ChIJme0fDdx744kRkewtCrKcph0,Franklin Park Zoo,4.4,9086
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Bog Garden,42.30300855633929,-71.08815759841642,leisure,7.084,False,,,,,nan,,,"('way', 1354642650)",ChIJ-55m_QccU4gRq4sSHHpe1PM,The Bog Garden at Benjamin Park,4.9,84
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Hartmann's Mountain Zebra,42.3039015,-71.0873775,tourism,6.0,False,,,,,nan,,,"('node', 1186989886)",ChIJNYZcijA4fR4RnROLOG5Vp0I,Mountain Zebra National Park,4.6,1449
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Masai Giraffe,42.305498,-71.08965,tourism,6.0,False,,,,,nan,,,"('node', 1186056087)",ChIJxQzAo8l744kReSCF0D8HlPs,Giraffe Savanna,4.8,5
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Goat,42.3036302,-71.0885256,tourism,5.297,False,,,,,nan,,,"('node', 1187553207)",ChIJq2Z_Dgp744kR3bfEtu46lN8,Murl's Kitchen,4.3,297
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Camel Rain Garden,42.30566555858005,-71.08746517219825,leisure,5.0,False,,,,,nan,,,"('way', 1354642652)",,,,
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",African Lion,42.3047908,-71.0878089,tourism,4.0,False,,,,,nan,,,"('node', 1186989883)",,,,
"Franklin Park, Roxbury, Boston, Suffolk County, Massachusetts, United States",Wildebeest,42.3037737,-71.087227,tourism,4.0,False,,,,,nan,,,"('node', 1186989874)",,,,
