park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Golden Gate Park, San Francisco, California, United States",City Fields Foundation (2015),37.7689922,-122.509449,historic,19.5,True,,,,nan,nan,2015,nan,"('node', 10616552677)",ChIJ5-r4GryHhYAR6w4ofG2yEuQ,Beach Chalet Athletic Fields,4.8,714
"Golden Gate Park, San Francisco, California, United States",Roald Amundsen,37.7699405,-122.5104577,historic,18.0,True,Q96658172,,,nan,nan,1930-03-01,nan,"('node', 6453421870)",ChIJlzqRlEGHhYARfXa2OJOwkU0,Roald Amundsen Statue,4.3,7
"Golden Gate Park, San Francisco, California, United States",Robert W. Carroll,37.770375,-122.509409,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 6923601928)",ChIJ0WdSL4Rw44kRNoRZXEw9Jig,Carroll Robert D,,
"Golden Gate Park, San Francisco, California, United States",Queen Wilhelmina Tulip Garden,37.770252686292835,-122.50920915257034,leisure,9.0,False,Q49547225,,,nan,nan,nan,nan,"('way', 120483945)",ChIJl9BKfLmHhYARtbJoLQTkHA8,Queen Wilhelmina Garden,4.7,926
"Golden Gate Park, San Francisco, California, United States","“San Francisco Life”, Lucien Lebaudt (WPA 1936)",37.7695246,-122.5102909,tourism,8.0,False,,,,nan,nan,nan,nan,"('node', 12641813202)",,,,
"Golden Gate Park, San Francisco, California, United States",Dutch Windmill,37.770440891891674,-122.50940579834352,tourism,7.6240000000000006,False,Q54799943,en:Dutch Windmill (Golden Gate Park),,nan,nan,1903,nan,"('way', 287921407)",ChIJVUt7dKGHhYARaMzBgUFwfT8,Dutch Windmill,4.7,124
"Golden Gate Park, San Francisco, California, United States",Trees from 13 Colonies,37.7709587,-122.4739091,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 8878461499)",ChIJuwIuUhWHhYARUhkb1tP2fxU,Arch of Colonial Trees,,
"Golden Gate Park, San Francisco, California, United States",Dedicated to the memory of James J. Nealon,37.7681298,-122.4645074,historic,19.0,True,,,,nan,nan,1960,nan,"('node', 10838178290)",ChIJt48kwPCHhYARv4NzpZmIeco,Institute on Aging - Enrichment Center in the Presidio,5,6
"Golden Gate Park, San Francisco, California, United States",To the memory of Charles H. Graham,37.7679889,-122.4656133,historic,18.5,True,,,,nan,nan,nan,nan,"('node', 10832774969)",ChIJU6L5VbuHhYARC7yg1HSd86c,Charles W. Thomas Salon Presidio Heights,4.5,25
"Golden Gate Park, San Francisco, California, United States",Celebration Garden,37.767677830392714,-122.46733215185677,leisure,9.0,False,,,,nan,nan,nan,nan,"('way', 1062532259)",ChIJD5janYKHhYARw28Mn1UL-_0,Celebration Garden,5,3
