park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Spirit of Music (Theodore Thomas Memorial),41.87339744824532,-87.6235221305833,historic,23.0,False,Q29344952,en:Spirit of Music (sculpture),,nan,https://www.cpdit01.com/resources/planning-and-development.fountains-monuments-and-sculptures/Grant%20Park/Spirit%20of%20Music.pdf,nan,nan,"('way', 765851953)",ChIJ_9hdLZ8sDogR3lX98KD5i4Q,Spirit of Music - Theodore Thomas Memorial Monument - sculpted by Albin Polasek,4.8,4
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",John Alexander Logan Monument,41.87061998558664,-87.62346333823301,tourism,21.5,False,Q29600648,en:General John Logan Memorial,,nan,nan,nan,nan,"('way', 766343991)",ChIJfxQZxdQtDogR8eX76LY_I1I,John Alexander Logan Monument,4.5,46
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Central Station,41.8679977,-87.6227404,historic,17.0,True,Q5047881,en:Central Station (Chicago terminal),,nan,nan,nan,nan,"('node', 10964790305)",ChIJA3ANNYIsDogR9S6puNXYqZA,Central Station,,
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",The Blues Trail: Mississippi to Chicago,41.8679325,-87.6228622,historic,17.0,True,Q1939151,en:Mississippi Blues Trail,,nan,https://msbluestrail.org/blues-trail-markers/chicago,nan,nan,"('node', 9938661771)",,,,
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Field Museum Map,41.8662359,-87.6170182,tourism,15.0,False,,,,nan,nan,nan,nan,"('node', 8379728467)",ChIJV0AwM30rDogR2sd-X0cgErU,Field Museum,4.7,28916
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Field Museum,41.866213882086804,-87.6170010102916,tourism,15.0,False,Q1122595,en:Field Museum of Natural History,,nan,https://www.fieldmuseum.org/,nan,Mo-Su 09:00-17:00,"('way', 24825537)",ChIJV0AwM30rDogR2sd-X0cgErU,Field Museum,4.7,28916
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Brachiosaurus Replica,41.8666577,-87.6184708,tourism,12.0,False,Q14397,en:Brachiosaurus,,nan,https://www.chicagoparkdistrict.com/parks-facilities/brachiosaurus-replica-artwork,nan,nan,"('node', 4426074799)",ChIJV0AwM30rDogR2sd-X0cgErU,Field Museum,4.7,28916
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Equestrian Indians (The Spearman),41.87549862875343,-87.62349094582176,tourism,15.0,False,Q7719555,en:The Bowman and The Spearman,,nan,https://www.cpdit01.com/resources/planning-and-development.fountains-monuments-and-sculptures/Grant%20Park/Equestrian%20Indians.pdf,nan,nan,"('way', 210671749)",ChIJy2gX_6EsDogR7hxUcPXXpDU,The Spearman,4.8,24
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Equestrian Indians (The Bowman),41.875978216190475,-87.62350760063491,tourism,15.0,False,Q7719555,en:The Bowman and The Spearman,,nan,https://www.cpdit01.com/resources/planning-and-development.fountains-monuments-and-sculptures/Grant%20Park/Equestrian%20Indians.pdf,nan,nan,"('way', 210671755)",ChIJy2gX_6EsDogR7hxUcPXXpDU,The Spearman,4.8,24
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Abraham Lincoln: The Head of State,41.87729315,-87.6215429,historic,15.091,False,Q4668995,en:Abraham Lincoln: The Head of State,,nan,nan,1926-05-31,nan,"('way', 763952137)",ChIJM4mXsKEsDogR71RK1vD3KyM,"Abraham Lincoln, Head of State",4.4,91
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Millennium Monument,41.88403300982854,-87.62382054789626,historic,15.858,False,,,,nan,nan,nan,nan,"('way', 231253695)",ChIJH-oj3qUsDogRHBrSLAnNDM8,Millennium Monument,4.7,358
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",Monument of the Millenium,41.887908,-87.6127843,historic,15.858,False,,,,nan,nan,nan,nan,"('node', 1471578281)",ChIJH-oj3qUsDogRHBrSLAnNDM8,Millennium Monument,4.7,358
"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States",DuSable Harbor,41.88566098214937,-87.61145802077705,natural,5.0,False,,,,nan,nan,nan,nan,"('relation', 2271425)",ChIJUe7Hi1ArDogRkwk1xuXospA,DuSable Harbor,4.6,1047
