park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Sam Houston Monument,29.7215907,-95.3909695,historic,21.597,False,Q15274648,en:Sam Houston Monument,,nan,https://www.hermannpark.org/place/45/,nan,nan,"('node', 1043838592)",ChIJeYhFUzC_QIYRSWuw_cXD_ps,Sam Houston Statue at Hermann Park,4.6,97
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Pioneer Memorial Log House,29.71204,-95.39369,historic,19.0,True,,,,Texas Historical Commission,nan,1997,nan,"('node', 12403652931)",ChIJDaWEYgC_QIYRqbE9bsxm8B0,Pioneer Memorial Log House by the Daughters of the Republic of Texas,,
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Pioneer Memorial Log House Museum,29.712018002139803,-95.39384412959141,tourism,19.0,False,,,,nan,http://www.sanjacintodrt.org/pioneer.htm,nan,nan,"('way', 429768183)",ChIJDaWEYgC_QIYRqbE9bsxm8B0,Pioneer Memorial Log House by the Daughters of the Republic of Texas,,
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",San Jacinto Chapter of the Daughters of the Republic of Texas,29.71207,-95.39371,historic,17.5,True,,,,Texas Historical Commission,nan,1986,nan,"('node', 12403652997)",ChIJ415gMIi_QIYREK9du4K9VhQ,Daughters of the Republic of Texas,4.2,10
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",George Hermann Statue,29.7152584,-95.395748,tourism,14.0,False,,,,nan,nan,nan,nan,"('node', 4289031164)",ChIJg6gIOXjAQIYR-QRf2FMNLTU,Statue of George H. Hermann,5,2
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Hermann Park,29.715363451040538,-95.39603185387776,historic,14.0,False,,,,nan,nan,nan,nan,"('way', 615900993)",ChIJR1kC54a_QIYRQQvvQ2sjJrE,Hermann Park,4.7,29275
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Mahatma Gandhi,29.7211491,-95.3883544,historic,16.0,False,Q21189467,en:Statue of Mahatma Gandhi (Houston),,nan,nan,2004-10-02,nan,"('node', 11002249109)",ChIJg7IGSly_QIYRywcQf9UHK1Y,Mahatma Gandhi Monument,5,10
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Lillian Schnitzer Fountain Statue,29.721297,-95.3868353,tourism,14.597,False,Q136334382,,,nan,https://hermannpark.org/place/lillian-schnitzer-fountain-statue/,1875,nan,"('node', 4324511474)",ChIJeYhFUzC_QIYRSWuw_cXD_ps,Sam Houston Statue at Hermann Park,4.6,97
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Martin Luther King Jr.,29.7213221,-95.3883222,historic,14.0,False,Q21189309,en:Statue of Martin Luther King Jr. (Houston),,nan,nan,2007,nan,"('node', 11002249108)",ChIJqUq-OAC_QIYRlA2aNdr7nS8,Dr. Martin Luther King Jr. Monument,,
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Houston Museum of Natural Science,29.72211912879031,-95.38969784855504,tourism,13.0,False,Q610401,en:Houston Museum of Natural Science,,nan,https://www.hmns.org/,nan,Mo-Su 09:00-18:00,"('way', 217678285)",,,,
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Stone Lantern,29.7191942,-95.3923081,historic,13.641,False,,,,nan,https://www.hermannpark.org/place/99/,nan,nan,"('node', 4287062610)",ChIJzaVZe6e3t4kRri1W4QQriDA,Japanese Lantern,4.7,141
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Pioneer Memorial,29.7186246,-95.3909358,man_made,11.619,False,Q21188742,en:Pioneer Memorial (Houston),,nan,https://www.hermannpark.org/place/44/,nan,nan,"('node', 661054556)",ChIJp8c03Ia_QIYRhqCXdZx9rs0,Pioneer Memorial Obelisk,4.7,119
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Dawn,29.7207825,-95.387244,tourism,12.131,False,Q21188188,,,nan,nan,1971,nan,"('node', 13154668577)",ChIJbdQVTXzAQIYRb7GckTSOMeI,"Dawn Stoecker-Simon, MD",5,131
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",Great Confucius,29.7205128,-95.3871027,tourism,12.0,False,Q136334338,,,nan,nan,2009,nan,"('node', 12716985502)",ChIJg0OjDZK_QIYRhgA1terbyuQ,Great Confucius,5,2
"Hermann Park, 1700, University Place, Houston, Harris County, Texas, 77004, United States",The Mount,29.721558990207267,-95.38795761711486,tourism,10.5,False,,,,nan,nan,nan,nan,"('way', 1393712217)",ChIJZRyV3IO_QIYRUd2OSBQ90L8,The Mount,4.6,37
