park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Original Lake Michigan Shoreline,41.9287049,-87.6364348,historic,19.5,True,,,,nan,nan,nan,nan,"('node', 9866639343)",ChIJj3c_ZFIrDogReYb4CRZb21g,Shoreline Sightseeing,4.8,4271
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Richard Oglesby Monument,41.9303454,-87.6370685,tourism,18.0,False,Q99654515,en:Statue of Richard J. Oglesby,,nan,https://www.chicagoparkdistrict.com/parks-facilities/richard-oglesby-monument,nan,nan,"('node', 3554712761)",ChIJbc-XXXPTD4gRpp7JAFi7Lu8,Richard Oglesby Monument,5,7
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Alexander Hamilton Monument,41.9317121,-87.6384403,tourism,17.5,False,Q79353617,en:Statue of Alexander Hamilton (Chicago),,nan,https://www.chicagoparkdistrict.com/parks-facilities/alexander-hamilton-monument,nan,nan,"('node', 589510013)",ChIJXRtYMwvTD4gRB6cg23zgcEY,Alexander Hamilton Monument,4.5,22
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Johann Wolfgang von Goethe Monument,41.9326031,-87.6386173,tourism,17.5,False,,,,nan,https://www.chicagoparkdistrict.com/parks-facilities/johann-wolfgang-von-goethe-monument,nan,nan,"('node', 589510009)",ChIJ70trKgvTD4gRXduN5K2k1j8,Johann Wolfgang von Goethe Monument,4.5,13
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Emanuel Swedenborg Monument,41.9314708,-87.6316845,tourism,18.0,False,,,,nan,https://www.chicagoparkdistrict.com/parks-facilities/emanuel-swedenborg-monument,nan,nan,"('node', 3554719291)",ChIJmxnqEoTTD4gRQNK3ngWzn8g,Lincoln Park - Emanuel Swedenborg Monument,5,3
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",John Peter Altgeld Momument,41.932189,-87.6375291,tourism,16.0,False,Q79406097,en:John Peter Altgeld,,nan,https://www.chicagoparkdistrict.com/parks-facilities/john-peter-altgeld-monument,nan,nan,"('node', 589510017)",ChIJURvRHifTD4gR_o-A6WJaGsU,John Peter Altgeld Monument,5,2
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",AIDS Garden Chicago,41.9389641,-87.6347622,leisure,17.071,False,Q111992385,en:AIDS Garden Chicago,,Chicago Parks Foundation,https://www.aidsgardenchicago.org/,nan,nan,"('node', 11948584298)",ChIJw9qaDQLTD4gRbLRGqhNp3os,AIDS Garden Chicago,4.9,71
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",General Philip Henry Sheridan Monument,41.94046489900232,-87.63924162973518,tourism,16.0,False,,,,nan,https://www.chicagoparkdistrict.com/parks-facilities/general-philip-henry-sheridan-monument,nan,nan,"('way', 1288462337)",ChIJJZ7tG6LTD4gR162PDEinf5w,General Philip Henry Sheridan Monument,,
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",‘Self-Portrait’,41.9390451,-87.634151,tourism,13.0,False,,,,nan,https://www.aidsgardenchicago.org/haring,nan,nan,"('node', 7618580529)",ChIJ8fnSurLTD4gRVgSrsDOf1tc,“Self-Portrait” - Lakeview,5,6
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",The Peggy Notebaert Nature Museum,41.926724513057195,-87.63523083184613,tourism,15.0,False,Q7160706,en:Peggy Notebaert Nature Museum,,nan,https://www.naturemuseum.org/,nan,Mo-Fr 09:00-17:00; Sa-Su 10:00-17:00,"('way', 23986958)",ChIJx3dXo2vTD4gR2o_su-z0YPQ,Peggy Notebaert Nature Museum,4.7,2164
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Nature Museum Sign,41.9260233,-87.6338975,tourism,15.0,False,,,,nan,nan,nan,nan,"('node', 9650890811)",ChIJx3dXo2vTD4gR2o_su-z0YPQ,Peggy Notebaert Nature Museum,4.7,2164
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Nature Museum Sign,41.9258164,-87.6340668,tourism,15.0,False,,,,nan,nan,nan,nan,"('node', 9650890810)",ChIJx3dXo2vTD4gR2o_su-z0YPQ,Peggy Notebaert Nature Museum,4.7,2164
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Memorial to Extinct Birds,41.9264312,-87.6341692,tourism,14.0,False,,,,nan,nan,nan,nan,"('node', 4260920143)",,,,
"Lincoln Park, 500-5700, Chicago, Lake View Township, Cook County, Illinois, 60614, United States",Bison,41.9265609,-87.6343786,tourism,12.0,False,,,,nan,nan,nan,nan,"('node', 11563278491)",ChIJ5T8gwqbTD4gRRV525ZDW_tA,Wilde Irish Bar & Restaurant,4.6,2310
