park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Millennium Monument,41.88403300982854,-87.62382054789626,historic,15.858,False,,,,,nan,,nan,"('way', 231253695)",ChIJH-oj3qUsDogRHBrSLAnNDM8,Millennium Monument,4.7,358
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Cloud Gate,41.88268649325113,-87.62333940043885,tourism,10.0,False,Q589099,en:Cloud Gate,,,nan,,nan,"('way', 137060274)",ChIJ9Sszh6YsDogRUUo6zu8_TQY,Cloud Gate,4.7,36733
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",BP Bridge,41.8826301513367,-87.62042208504381,man_made,9.646,False,Q2002163,en:BP Pedestrian Bridge,,,nan,,nan,"('way', 524270341)",ChIJ71AeCqcsDogRLpY9CVjhLf4,BP Pedestrian Bridge,4.7,146
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Lurie Garden,41.881428225652876,-87.62170588767322,leisure,9.278,False,Q3267751,en:Lurie Garden,,,nan,,nan,"('way', 126945427)",ChIJeTZC3aYsDogRuMFhXSacD-Q,Lurie Garden,4.8,278
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Interconnected,41.8814854,-87.6233816,tourism,8.071,False,,,,,nan,,nan,"('node', 1633465278)",ChIJpT5IN3MsDogRFrrhPPrWvpQ,McCormick Student Village (MSV) - Illinois Institute of Technology Housing,3.8,71
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Interconnected,41.8837191,-87.62343,tourism,8.071,False,,,,,nan,,nan,"('node', 1633465279)",ChIJpT5IN3MsDogRFrrhPPrWvpQ,McCormick Student Village (MSV) - Illinois Institute of Technology Housing,3.8,71
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Northwest Exelon Pavilion / Millennium Park Information Center,41.88409492200634,-87.62238545870238,tourism,7.5,False,,,,,nan,,nan,"('way', 234847963)",ChIJnT5xFaYsDogR7jGn784kHK4,Millennium Park Welcome Center,4.5,28
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Light Plate,41.881488745393526,-87.62194778628289,leisure,7.0,False,,,,,nan,,nan,"('way', 771241205)",ChIJ9fuVJa4sDogRNnOHAFsE8gk,SPIN Chicago,4.6,1077
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Crown Fountain,41.88148734366214,-87.62375205238794,natural,6.0,False,Q3005469,en:Crown Fountain,,,https://www.cityofchicago.org/city/en/depts/dca/supp_info/millennium_park_-crownfountainfactsfigures.html,,Mo-Su 06:00-23:00,"('relation', 3154126)",ChIJKcQCIaQsDogRMVQDi8SU-6Q,Crown Fountain,4.7,5368
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",Dark Plate,41.88146848005066,-87.62150391707362,leisure,5.0,False,,,,,nan,,nan,"('way', 771241206)",,,,
"Millennium Park, 201, Jewelers Row, Loop, Chicago, Cook County, Illinois, 60601, United States",The Seam,41.88138824697468,-87.62170088128815,natural,4.566,False,,,,,nan,,nan,"('way', 764608559)",ChIJ2YezRhLTD4gRQtL4cOkZZok,Seams,4.6,66
