park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"National Mall, Ward 2, Washington, District of Columbia, United States",Peace Monument,38.89064839447009,-77.01232498006134,historic,22.5,False,Q2065740,en:Peace Monument,,nan,nan,nan,nan,"('way', 722871846)",ChIJY3F8GYe3t4kRQBw62qc5Vpk,Peace Monument,4.8,635
"National Mall, Ward 2, Washington, District of Columbia, United States",James A. Garfield Monument,38.888989646530554,-77.01232243503681,historic,21.742,False,Q238932,en:James A. Garfield Monument,,nan,nan,nan,nan,"('way', 722871844)",ChIJiwbe6Si4t4kRO-Iv15pEwsE,Garfield Memorial,4.5,242
"National Mall, Ward 2, Washington, District of Columbia, United States",Ulysses S. Grant Statue,38.88976884517834,-77.01290452512202,historic,18.436,False,Q1571266,en:Ulysses S. Grant Memorial,,nan,nan,nan,nan,"('way', 66418999)",ChIJl5rEHoe3t4kRVqr5fHMHdHs,Ulysses S. Grant Memorial,4.8,436
"National Mall, Ward 2, Washington, District of Columbia, United States",Ulysses S. Grant Memorial,38.88976312649378,-77.01290067209119,historic,16.436,False,Q1571266,en:Ulysses S. Grant Memorial,,nan,https://www.aoc.gov/capitol-grounds/ulysses-s-grant-memorial,1922-04-22,nan,"('relation', 10015500)",ChIJl5rEHoe3t4kRVqr5fHMHdHs,Ulysses S. Grant Memorial,4.8,436
"National Mall, Ward 2, Washington, District of Columbia, United States",National Air and Space Museum,38.88813334050781,-77.01983070754478,tourism,17.0,False,Q752669,,File:Smithsonian_Air_and_Space_Museum.jpg,Smithsonian Institution,https://airandspace.si.edu/,nan,Mo-Su 10:00-17:30,"('relation', 16159112)",ChIJISQme4O3t4kRG-iM3TfJ5_g,Smithsonian's National Air and Space Museum,4.6,46083
"National Mall, Ward 2, Washington, District of Columbia, United States",Monument to Balzac,38.8890584,-77.0225669,tourism,16.5,False,Q2770535,en:Monument to Balzac,,nan,nan,nan,nan,"('node', 917753616)",ChIJnS8eIc9x5kcR-3QWPPtvf1Q,Monument to Balzac,4.2,22
"National Mall, Ward 2, Washington, District of Columbia, United States",Jefferson Memorial,38.88142178415163,-77.03655063829508,historic,20.5,False,Q326183,en:Jefferson Memorial,,nan,nan,1943,24/7,"('way', 248460669)",ChIJu2icngu3t4kRcpjATtc3QQQ,Thomas Jefferson Memorial,4.8,11492
"National Mall, Ward 2, Washington, District of Columbia, United States","Martin Luther King, Jr. Memorial",38.88623373451967,-77.04421818481127,historic,20.5,False,Q536802,en:Martin Luther King Jr. Memorial,,National Park Service,nan,nan,nan,"('way', 398822975)",ChIJUQb_Dwi3t4kRHsEaPW7Z2tw,"Martin Luther King, Jr. Memorial",4.9,8570
"National Mall, Ward 2, Washington, District of Columbia, United States",DC War Memorial,38.88759969537927,-77.0434968395006,historic,20.173000000000002,False,Q1229694,en:District of Columbia War Memorial,,nan,nan,1931,nan,"('way', 248442939)",ChIJazfLYHO3t4kR5jLnapdDpEU,D.C. War Memorial,4.8,173
"National Mall, Ward 2, Washington, District of Columbia, United States",World War II Memorial,38.88940449832516,-77.04035072599227,historic,20.5,False,Q1470020,en:World War II Memorial,File:WwII_memorial_dec2005.jpg,National Park Service,nan,2002,nan,"('way', 66418767)",ChIJoU4x3aa3t4kRdnjs4BD8mkU,World War II Memorial,4.9,24964
"National Mall, Ward 2, Washington, District of Columbia, United States",Korean War Veterans Memorial,38.88779684424205,-77.04754991118371,historic,20.5,False,Q708847,en:Korean War Veterans Memorial,,nan,nan,nan,nan,"('way', 173927230)",ChIJFT3fMqi3t4kRN-fXwp19qpk,Korean War Veterans Memorial,4.8,2758
"National Mall, Ward 2, Washington, District of Columbia, United States",The Statues,38.887840158658925,-77.0477872371161,leisure,11.259,False,,,,nan,nan,nan,nan,"('way', 156332689)",ChIJVVVVFaa3t4kR02j_fL0WL1k,The Three Servicemen Statue,4.8,259
"National Mall, Ward 2, Washington, District of Columbia, United States",National Park Service,38.88845200736244,-77.04904756591019,tourism,7.5,False,,,,National Park Service,nan,nan,nan,"('way', 66418761)",ChIJebdhEza3t4kRLc5K7RCFuJc,National Park Service Stables,4.6,15
