park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Vietnam War Memorial,35.1472073,-89.9939721,historic,20.5,False,,,,nan,nan,nan,,"('node', 2952671133)",ChIJ_3ub36i3t4kRBetofOBhczQ,Vietnam Veterans Memorial,4.8,2985
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",World War II Memorial,35.1473729,-89.9940365,historic,20.081,False,,,,nan,nan,nan,,"('node', 2952655333)",ChIJff8mQ_xmZIgRCBvn6nVV88g,World War II Memorial,4.9,81
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Korean War Memorial,35.1472468,-89.9939923,historic,19.5,False,,,,nan,nan,nan,,"('node', 2952655835)",ChIJ678kRHa70ocRwTqfkmRnoP8,Arkansas Korean War Veterans Memorial,4.5,20
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Veteran's Plaza Memorial,35.1471349,-89.9939507,historic,19.5,False,,,,nan,nan,nan,,"('node', 2952673633)",ChIJOR_3RqKAf4gRc2CdUdbbcF8,Veterans Plaza,4.7,49
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Lilian May Elizabeth Nelson Byrd Memorial (DAR),35.145418,-89.993286,historic,19.573,False,,,,nan,nan,nan,,"('node', 2952700033)",ChIJNbCN-BKEf4gRRdNeLg4gyL8,Richard & Annette Bloch Cancer Survivors Park,4.7,73
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Korean War Memorial At Veteran's Plaza,35.1476459,-89.9942551,historic,19.116,False,,,,nan,nan,nan,,"('node', 2952655834)",ChIJn8h9v0lawokRCboP-Ls7sW8,Korean War Veterans Plaza,4.4,116
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Iraq War Memorial,35.1472194,-89.9939762,historic,18.5,False,,,,nan,nan,nan,,"('node', 2952645636)",ChIJV8bO7sUEdkgRJz-8IvSLEHM,Iraq and Afghanistan Memorial,4.2,18
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Memphis Belle Memorial,35.14748,-89.9940447,historic,18.0,False,,,,nan,nan,nan,,"('node', 2952655833)",ChIJ31GjAumFf4gRfMAyW0gbrnU,Memphis Belle Memorial Association,,
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Higbee Memorial,35.1473334,-89.994522,historic,18.0,False,,,,nan,nan,nan,,"('node', 2952674833)",ChIJ--ha0rSAf4gRkNoFmLph6K4,Higbee Ave,,
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Margaret Polk Statue,35.1475013,-89.9940355,historic,17.5,False,,,,nan,nan,nan,,"('node', 2952657133)",ChIJE1qfZEJ_1YcRrp46khxepcE,Memphis Suffrage Monument,4.7,6
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Sophie G. Freidman Memorial,35.145494,-89.993224,historic,18.0,False,,,,nan,nan,nan,,"('node', 2952702133)",,,,
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",E. H. Crump Statue,35.14317919114086,-89.99544568777584,historic,18.0,False,,,,nan,nan,nan,,"('way', 545060997)",ChIJdWZ9vKaAf4gRDizIIqUmI9s,Memphis Brooks Museum of Art,4.6,1003
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Doughboy World War I Statue,35.1473367,-89.993893,historic,16.0,False,,,,nan,nan,nan,,"('node', 2952653733)",ChIJ-6vPkq-72IcRmxexO7eDZSs,Spirit of the American Doughboy,,
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Veterans Plaza at Overton Park,35.14732902191102,-89.99409458673362,historic,15.5,False,,,,nan,nan,nan,,"('way', 274849978)",ChIJOR_3RqKAf4gRc2CdUdbbcF8,Veterans Plaza,4.7,49
"Overton Park, Morningside Park, Memphis, Shelby County, West Tennessee, Tennessee, United States",Memory Grove,35.1475801,-89.9941237,historic,14.5,False,,,,nan,nan,nan,,"('node', 2952661833)",ChIJeWT6b6H1UocRdf4uIbk1djk,Memory Grove Park,4.8,3307
