park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Patterson Park, 200, Baltimore, Maryland, United States",Gold Star Mothers Memorial Flagstaff,39.2870033,-76.5770429,historic,18.0,False,,,,nan,nan,nan,nan,"('node', 1471599817)",ChIJY5WI5h61RIYRwJf0Omuh8Vw,Gold Star Mothers Memorial,5,2
"Patterson Park, 200, Baltimore, Maryland, United States",Rodgers Bastion,39.2898618,-76.5837173,historic,17.0,True,,,,nan,nan,nan,nan,"('node', 8929646251)",ChIJ1ctFc3oEyIkR99woJ_n2C1o,The Observatory at Patterson Park,4.7,766
"Patterson Park, 200, Baltimore, Maryland, United States",Star Spangled Banner Centennial Monument,39.2899447,-76.5835553,historic,16.0,False,,,,nan,nan,nan,nan,"('node', 2289898434)",ChIJ1w1ZnwQDyIkRkDQpp-YMq-U,"Star-Spangled Banner National Historic Trail Marker, Former Glory. Harris Creek",,
"Patterson Park, 200, Baltimore, Maryland, United States",Taurus Statue Remnant,39.2905728,-76.5830416,historic,14.0,False,,,,nan,nan,nan,nan,"('node', 2289898435)",,,,
"Patterson Park, 200, Baltimore, Maryland, United States",Conradin Kreutzer Monument,39.2882844,-76.5838471,historic,12.0,False,,,,nan,nan,1915,nan,"('node', 7833984131)",,,,
"Patterson Park, 200, Baltimore, Maryland, United States",Pulaski Monument,39.2871696,-76.5770629,historic,12.5,False,,,,nan,nan,nan,nan,"('node', 2289898433)",ChIJVwRkO3QEyIkRsuQanLo5Akk,General Casimir Pulaski Monument,4,7
"Patterson Park, 200, Baltimore, Maryland, United States",Audubon Pollinator Garden for Native Plants,39.28758600516654,-76.58085001429761,leisure,7.0,False,,,,nan,https://patterson.audubon.org/,nan,nan,"('way', 683706528)",ChIJD794dLIFyIkR9ZGAxfdIsps,Audubon Pollinator Garden for Native Plants,5,7
"Patterson Park, 200, Baltimore, Maryland, United States",Audubon Wetland Garden for Native Plants,39.28888219609523,-76.58229303768849,leisure,7.0,False,,,,nan,nan,nan,nan,"('way', 683611010)",ChIJA7Y1Q44FyIkRBfQBefIclNw,Audubon Wetland Garden for Native Plants,5,1
"Patterson Park, 200, Baltimore, Maryland, United States",Patterson Park City Farm,39.29100704905404,-76.58229925232654,leisure,5.0,False,,,,nan,nan,nan,nan,"('way', 133689213)",ChIJR8YzzHAEyIkRFVzfBdwjULc,Patterson Park,4.6,4812
"Patterson Park, 200, Baltimore, Maryland, United States",Patterson Park Neighborhood Assocation Bulletin Board,39.2920411,-76.5763458,tourism,6.0,False,,,,Patterson Park Neighborhood Association,nan,nan,nan,"('node', 6610596078)",ChIJ7zF_vXEEyIkRUIXcl9Cn_1A,Patterson Park Neighborhood Association,5,1
"Patterson Park, 200, Baltimore, Maryland, United States",Patterson Park Boat Lake,39.28806739394954,-76.58075221486767,natural,3.0,False,,,,nan,nan,1874,nan,"('relation', 2558966)",ChIJHaIvIncEyIkRAwfWI_a2Erw,Patterson Park Boat Lake,5,6
"Patterson Park, 200, Baltimore, Maryland, United States","Dr Levi Watkins Jr., Marble Fountain",39.29077516272672,-76.58391686668813,amenity,1.0,False,,,,nan,nan,nan,nan,"('way', 575980126)",ChIJ__-_y2IEyIkRrLwIL-wfdV0,"Stanley Watkins, Jr",,
