park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Seattle Asian Art Museum,47.63029764914558,-122.31420177202676,tourism,15.0,False,Q836066,en:Seattle Asian Art Museum,,Seattle Art Museum,https://www.seattleartmuseum.org/visit/seattle-asian-art-museum,,Th-Su 10:00-17:00,"('way', 36839785)",ChIJl4rpASgVkFQRoh-ouNE8ZSo,Seattle Asian Art Museum,4.7,982
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Judge Thomas Burke,47.629283,-122.31525,tourism,13.5,False,Q22025692,,,nan,nan,,nan,"('node', 3211770226)",ChIJiSsJGHUVkFQRfC6vQpc7NiE,Thomas Burke Memorial,4.6,7
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Volunteer Park Water Tower,47.6290220343038,-122.31457296827406,tourism,10.801,False,,,,Seattle Department of Parks and Recreation,https://volunteerparktrust.org/profile/water-tower/,,nan,"('way', 40790430)",ChIJV84WPigVkFQRwz0I7NqvNNQ,Water Tower Observation Deck,4.6,301
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Homage in Green,47.6320695,-122.3157327,tourism,10.113,False,,,,nan,nan,,nan,"('node', 3211770233)",ChIJNXofo8cVkFQRNd_zBkjptXU,Homage Coffee,4.8,113
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",William H. Seward,47.6318615,-122.315724,tourism,10.0,False,Q18159285,,,nan,nan,,nan,"('node', 3211770232)",ChIJp0GvdtgUkFQR4KPnsDzVp2E,William Henry Seward Sculpture,,
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Dahlia garden,47.631346130006115,-122.31449607665827,leisure,9.0,False,,,,nan,nan,,nan,"('way', 1098985604)",ChIJWz_MiC0VkFQR5KmwvzW8QuM,Volunteer Park Dahlia Garden,4.8,17
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Soft Services,47.6316242,-122.3161813,tourism,8.0,False,,,,nan,nan,,nan,"('node', 11390273669)",ChIJ9d-t_EAVkFQRc7uRSMPz2Ts,Chloë Bass: Soft Services - 14 Stone Benches,3,2
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Black Sun,47.6299452,-122.315202,tourism,8.0,False,Q4921944,,,nan,nan,,nan,"('node', 772402830)",ChIJ66_ICCgVkFQRrkWL-_3oWpk,Black Sun,,
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Playform,47.6321627,-122.3132105,tourism,8.0,False,,,,nan,nan,,nan,"('node', 3211770235)",ChIJF_sQTtDutEARz6hm-qyp_24,PLAYFORM,,
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Untitled Bird-Bath,47.6312,-122.316733,tourism,6.5,False,,,,nan,nan,,nan,"('node', 3211770230)",ChIJF32xk_lrkFQRRk7IhkSe8Qk,Delusional Bird,4.7,26
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Volunteer Park Reservoir,47.6294713107111,-122.31657436244983,natural,3.0,False,,,,nan,nan,,nan,"('way', 160552456)",ChIJ7diVD6wVkFQR193DWIaNSuc,Volunteer Park Reservoir,3.9,15
"Volunteer Park, 1247, Capitol Hill, Seattle, King County, Washington, 98112, United States",Capitol Hill,47.6290305,-122.3145451,natural,3.0,False,,,,nan,nan,,nan,"('node', 1535793729)",ChIJmZaX9TK4t4kRnP6quyxTrws,Capitol Hill,,
