park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Vietnam Veterans of Oregon Memorial,45.51202886169812,-122.71836515631875,historic,16.286,False,Q7101417,en:Oregon Vietnam Veterans Memorial,,Portland Parks & Recreation,https://www.portland.gov/parks/vietnam-veterans-oregon-memorial,,05:00-22:00,"('way', 130711720)",ChIJcxnVhCkKlVQRkY5Nh0dY58Y,Vietnam Veterans of Oregon Memorial,4.8,286
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Sculpture Garden,45.508455106979724,-122.715178793212,tourism,13.0,False,,,,nan,nan,,nan,"('way', 1126415210)",ChIJw8IFY20LlVQRYxMkJQSn-gw,Sculpture garden,5,2
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Oregon Holocaust Memorial,45.52229486657814,-122.70377152062053,historic,16.277,False,Q2899284,,,City of Portland,https://www.portland.gov/parks/oregon-holocaust-memorial,,nan,"('way', 130713809)",ChIJ498dxfQJlVQRK0K7ws8XFnU,Oregon Holocaust Memorial,4.8,277
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Sacajawea and Jean-Baptiste,45.5214766,-122.7022949,historic,16.0,False,Q16166630,,,nan,nan,,nan,"('node', 5418672039)",ChIJjS1TI_UJlVQRrJCUzlBrtIQ,Sacajawea Statue,4.8,45
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Lewis and Clark Memorial,45.5213104,-122.7014036,historic,15.591,False,,,,nan,nan,,nan,"('node', 5070000321)",ChIJKSrg8n8JlVQR6X3-GLKLlGk,Lewis and Clark Column,4.6,91
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Coming of the White Man,45.5232162,-122.7030849,historic,15.0,False,Q16155594,,,nan,nan,,nan,"('node', 5418666156)",ChIJH2In7fQJlVQRRA9oU9iauSI,Coming of the White Man Statue,4.4,33
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Loyal B. Stearns Memorial,45.5237521,-122.7008598,historic,15.0,False,Q18739438,en:Loyal B. Stearns Memorial Fountain,,nan,nan,,nan,"('node', 2651173906)",ChIJxS6ezksJlVQRx1xQ9eU8GeA,Loyal B. Stearns Memorial Fountain,3,1
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Japanese Arts Learning Center,45.5192021,-122.708754,tourism,14.0,False,,,,nan,https://japanesegarden.org/cultural-village/learning-center/,,nan,"('node', 9696789164)",ChIJ454YED8JlVQRA5xCTDbdx5w,Jordan Schnitzer Japanese Arts Learning Center,5,1
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Portland Japanese Garden,45.518744383527824,-122.70812907947443,leisure,9.0,False,Q2195976,en:Portland Japanese Garden,,City of Portland,https://japanesegarden.org/,,nan,"('way', 130713767)",ChIJecbtFYoJlVQR7V4BJzbAjJ4,Portland Japanese Garden,4.5,7588
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",International Rose Test Garden,45.51926093315679,-122.70547372704584,leisure,9.5,False,Q2682829,en:International Rose Test Garden,,City of Portland,https://www.portland.gov/parks/washington-park-international-rose-test-garden,,07:30-21:00,"('relation', 11988114)",ChIJfarJiIoJlVQRxt-PlpT--5E,International Rose Test Garden,4.8,9153
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Sand and Stone Garden,45.51839271665498,-122.70724414995401,leisure,8.5,False,,,,nan,nan,,nan,"('way', 1055280013)",ChIJgep9m5cJlVQRhzjNsB1Xv6M,Sand and Stone Garden,4.6,9
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Sapporo Pagoda,45.5182907,-122.7085868,tourism,8.055,False,,,,nan,nan,,nan,"('node', 9696789132)",ChIJwYOD7gcqC18Rl6mz55AQzwU,Sapporo Peace Pagoda,3.9,55
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Bonsai Terrace,45.5189,-122.7088188,leisure,7.0,False,,,,nan,nan,,nan,"('node', 9696789127)",ChIJecbtFYoJlVQR7V4BJzbAjJ4,Portland Japanese Garden,4.5,7588
"Washington Park, Arlington Heights, Portland, Multnomah County, Oregon, United States",Winter Garden,45.5167371,-122.7137326,leisure,7.0,False,,,,City of Portland,https://www.hoytarboretum.org,,nan,"('node', 7127348526)",ChIJrcT4k3KD54gRApeiKNx4xxo,Winter Garden,,
