park,name,lat,lon,category,score,has_plaque,wikidata,wikipedia,image,operator,website,start_date,opening_hours,osmid,google_place_id,google_name,google_rating,google_ratings_total
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Andrew Jackson Zilker,30.26417,-97.77091,historic,19.0,True,,,,Texas Historical Commission,nan,2002,nan,"('node', 12453821505)",ChIJF-XVEzu1RIYReOvMhGv7NIU,Zilker Eagle Miniature Train,4.5,677
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Barton Springs,30.26418,-97.77093,historic,18.785,True,,,,Texas Historical Commission,nan,1970,nan,"('node', 12453821488)",ChIJ84bWIDu1RIYRjFkZ0tVSs1I,Barton Springs,4.5,285
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Approximate Location of the Missions,30.26303,-97.77018,historic,18.5,True,,,,Texas Historical Commission,nan,1936,nan,"('node', 12453821503)",ChIJ__mvaL-1RIYRJtjRPebGDzo,Mission Possible Austin,4.5,38
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Swedes of Texas,30.26889,-97.77283,historic,17.0,True,,,,Texas Historical Commission,nan,1989,nan,"('node', 12453752289)",ChIJ9dp9RuPDRIYR3C-usUKBihc,New Sweden,,
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Swedish Log Cabin,30.26894,-97.77291,historic,17.0,True,,,,Texas Historical Commission,nan,1966,nan,"('node', 12453752285)",,,,
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Esperanza School Building,30.26901,-97.77284,historic,17.0,True,,,,Texas Historical Commission,nan,1974,nan,"('node', 12453821413)",ChIJX4I2b5hWW4YRO5AmHPnOZHo,Casa Esperanza School,,
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Ashford McGill House (Zilker Park Refectory),30.27243,-97.77497,historic,17.0,True,,,,Texas Historical Commission,nan,1990,nan,"('node', 12453821502)",ChIJnTlv7HK1RIYRSzMRpdte56I,Zilker Park Rock Garden,3.5,2
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Austin Nature & Science Center,30.271888472723614,-97.77457288170011,tourism,12.828,False,,,,nan,nan,nan,nan,"('way', 313450672)",ChIJCZfyHji1RIYRLcA0bvJew2A,Austin Nature & Science Center,4.7,328
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Zilker Botanical Garden,30.269487924464272,-97.77257864513463,leisure,9.0,False,Q8071897,,,nan,nan,nan,nan,"('way', 313444169)",ChIJqc0qKTq1RIYRrUZKed7fnys,Zilker Botanical Garden,4.6,5617
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Herbal Garden,30.2691132,-97.7733096,leisure,9.0,False,,,,nan,nan,nan,nan,"('node', 3194230020)",ChIJqc0qKTq1RIYRrUZKed7fnys,Zilker Botanical Garden,4.6,5617
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Rose Garden,30.2696692,-97.7715608,leisure,9.0,False,,,,nan,nan,nan,nan,"('node', 3194230018)",ChIJqc0qKTq1RIYRrUZKed7fnys,Zilker Botanical Garden,4.6,5617
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Oriental Garden,30.2691734,-97.7714106,leisure,9.0,False,,,,nan,nan,nan,nan,"('node', 3194230019)",ChIJqc0qKTq1RIYRrUZKed7fnys,Zilker Botanical Garden,4.6,5617
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Lou Neff Point,30.2672127,-97.7617556,tourism,11.475999999999999,False,,,,nan,nan,nan,nan,"('node', 2161101807)",ChIJRexbRxa1RIYRbavL1-t0agI,Lou Neff Point,4.8,476
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Rock Wall At Zilker,30.267892436513282,-97.76817454405534,tourism,8.0,False,,,,nan,nan,nan,nan,"('way', 313444940)",ChIJqc0qKTq1RIYRrUZKed7fnys,Zilker Botanical Garden,4.6,5617
"Zilker Metropolitan Park, Austin, Travis County, Texas, United States",Green Garden,30.2685109,-97.7713194,leisure,8.0,False,,,,nan,nan,nan,nan,"('node', 3194230021)",ChIJ5y5Klhm1RIYRLevdA1TJPqk,The Green Mesquite BBQ & More,4.2,1681
